website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms,geometry,StatistikdistriktNavn,counts
boligzonen.dk,2023,room,4955,8,8000,Thorvaldsensgade,Aarhus C,1,"LINESTRING (574503.454330304 6224001.622469599, 574487.5645883456 6224006.301517192, 574478.1230966266 6224010.250713346, 574469.7700563547 6224014.559836236, 574456.4035427507 6224021.868348609, 574343.4519675835 6224090.524373874, 574336.7480961708 6224094.153635148, 574285.1291108775 6224126.527045634, 574282.1523610867 6224128.536636587, 574270.8473085568 6224133.645596674, 574259.8555981101 6224143.0036918605, 574251.4036077067 6224152.141831818, 574244.4358692765 6224160.950038933, 574237.8062104625 6224170.818030332, 574232.669049466 6224180.01615808, 574227.6968053555 6224190.044116918, 574216.3010485384 6224227.54648342, 574206.4802479818 6224259.390001764)",Stat dist: 01.60,268.0
boligzonen.dk,2023,apartment,9900,72,8000,Vesterport,Aarhus C,3,"LINESTRING (574543.9661633305 6224248.052309518, 574539.9339454698 6224270.857667553, 574538.3672350536 6224280.585687443, 574536.1326112493 6224290.293711402, 574533.9144791337 6224298.72199585, 574531.3747590905 6224306.660380015, 574529.3875106152 6224312.379215962, 574525.6191597718 6224321.717315219, 574521.4962376239 6224332.025217076, 574518.997746802 6224337.574087619, 574516.1364388313 6224343.062970373)",Stat dist: 00.40,54.0
boligzonen.dk,2023,apartment,9750,74,8000,Mejlgade,Aarhus C,3,"LINESTRING (575469.1004182816 6224813.157284034, 575472.1843640483 6224818.806134228, 575484.5119012708 6224839.871846363, 575490.3334673439 6224851.349510117)",Stat dist: 00.20,399.0
boligzonen.dk,2023,apartment,9400,81,8000,Studsgade,Aarhus C,3,"LINESTRING (575117.9099097128 6224423.076683813, 575122.1895029024 6224432.874689457, 575136.4960427561 6224457.089760549, 575144.5769701662 6224469.397255395, 575154.818308782 6224483.924298457, 575165.3152685708 6224494.782088385, 575198.9500674544 6224523.466249807, 575229.1463492665 6224549.211009536, 575242.1088164999 6224560.498711957, 575253.5540483828 6224575.105738739, 575262.0307763192 6224597.071267718, 575267.0772330284 6224605.619527745, 575297.6198403009 6224642.741971578)",Stat dist: 00.20,147.0
boligzonen.dk,2023,room,3000,10,8000,Langelandsgade,Aarhus C,1,"LINESTRING (574335.1071731559 6224936.702136837, 574426.1990150943 6224931.983097384, 574430.5280833498 6224926.564200385, 574350.7000647198 6224869.5058144545)",Stat dist: 01.40,384.0
boligzonen.dk,2023,apartment,5800,52,8210,Vintervej,Aarhus V,2,"LINESTRING (571301.5517609264 6226258.0431816885, 571304.2646436997 6226264.941777499, 571305.831354116 6226268.221110001, 571308.3380907819 6226270.420662289, 571313.1866472281 6226271.360470993, 571342.3027234374 6226274.169899142, 571349.031332383 6226276.049516551, 571370.0087602722 6226283.717955663, 571374.8573167182 6226286.377414337, 571377.8340665092 6226289.666744804, 571378.4607506756 6226291.706329652, 571385.3460306628 6226337.716964321)",Stat dist: 03.51,203.0
boligzonen.dk,2023,apartment,8900,80,8000,Vestre Ringgade,Aarhus C,3,"LINESTRING (573464.3954905588 6224537.973296939, 573567.5839860796 6224537.473398692)",Stat dist: 01.50,579.0
boligzonen.dk,2023,apartment,2400,20,8200,Funch Thomsens Gade,Aarhus N,1,"LINESTRING (574712.7503502264 6226143.096578738, 574713.492476213 6226134.74827801, 574712.7585960707 6226124.060453486, 574707.5059932541 6226111.503009517)",Stat dist: 05.70,122.0
boligzonen.dk,2023,apartment,5700,74,8000,Marselis Boulevard,Aarhus C,2,"LINESTRING (574795.6870521561 6222492.349677711, 574821.257415318 6222513.905290129, 574840.6104118809 6222522.943450437, 574853.2512911868 6222528.802257894, 574865.5870742537 6222535.920808934, 574892.3943140601 6222552.487436844, 574906.2720700104 6222561.365629714, 574919.1190954236 6222570.533763567, 574924.5448609705 6222574.482959719, 574930.3499353549 6222578.642113135, 574942.3806221827 6222587.7902510585, 574955.1946642188 6222598.228126459, 574969.0641743249 6222610.2156864265, 574992.2679801739 6222630.531551191, 575004.0018166072 6222640.949430661, 575015.4882777116 6222649.837621496, 575028.3517948134 6222658.235912048, 575037.4222235391 6222664.754585191, 575046.4349313546 6222673.322841147, 575050.7062787 6222679.271630288, 575066.554791437 6222698.667682278)",Stat dist: 02.10,367.0
boligzonen.dk,2023,apartment,5995,46,8000,Vesterbrogade,Aarhus C,2,"LINESTRING (574417.7882539124 6224330.065615946, 574232.6030827117 6224267.718306561, 574206.4802479818 6224259.390001764)",Stat dist: 01.50,217.0
