street,district,rent_per_square_meter,rent_without_expenses,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_rent_1,most_similar_rent_2,most_similar_rent_3,most_similar_rent_4,most_similar_rent_5,most_similar_district_1,most_similar_district_2,most_similar_district_3,most_similar_district_4,most_similar_district_5,count,geometry_street
Langenæs Alle,Viby,124.7,8963.57142857143,Brobjerg Parkvej,Nyborggade,Møllehatten,Gammel Munkegade,Museumsgade,125.0,124.3,125.4,124.0,124.0,Skæring-Egå,Frederiksbjerg Øst,Vejlby-Risskov,Klostertorv/Vesterbro Torv,Ceresbyen/Godsbanen,7,"MULTILINESTRING ((573838.7155923779 6222797.587547425, 573770.3822806966 6222727.9517215965, 573738.1822587205 6222692.288980644, 573705.8832866129 6222658.72581233, 573683.0422979129 6222634.620718853, 573672.2979627951 6222622.163254533, 573655.6578490057 6222606.3664699225, 573620.2749311313 6222573.403179505), (573620.2749311313 6222573.403179505, 573609.8439380968 6222564.794931689, 573579.2188723813 6222541.649642846, 573551.3396728163 6222522.313578646), (573551.3396728163 6222522.313578646, 573506.7626385519 6222496.538825022, 573478.5618510594 6222481.391908133), (573478.5618510594 6222481.391908133, 573448.0027520983 6222466.424954614, 573403.3844886123 6222447.858733715), (573403.3844886123 6222447.858733715, 573353.159051005 6222431.442075278, 573321.0332416276 6222424.173554764), (573321.0332416276 6222424.173554764, 573300.377401666 6222420.664269069, 573278.7485520776 6222418.68467201, 573254.6789325774 6222417.974816499, 573234.4188931419 6222418.014808359), (573234.4188931419 6222418.014808359, 573216.4759359538 6222420.084387102, 573188.34936106 6222424.823422485, 573179.6005202618 6222426.63305414, 573160.4124405849 6222431.991963349, 573149.0249296121 6222436.181110661), (573620.2749311313 6222573.403179505, 573615.0635575362 6222578.112220993, 573611.1797648728 6222583.781067116, 573613.8101892032 6222664.474642172), (573551.3396728163 6222522.313578646, 573544.619309715 6222531.641679938, 573547.3404383328 6222619.403816209), (573478.5618510594 6222481.391908133, 573473.8947031879 6222492.769592239, 573476.2612605008 6222574.562943439), (573403.3844886123 6222447.858733715, 573399.475958416 6222456.376999846, 573399.0719120455 6222464.985247662, 573401.7847948188 6222541.4796774415), (573321.0332416276 6222424.173554764, 573319.4665312114 6222434.471458656, 573323.5399782937 6222513.64534304), (573234.4188931419 6222418.014808359, 573235.3259360145 6222425.283328872, 573249.6489675568 6222498.468432256), (573149.0249296121 6222436.181110661, 573175.7167275983 6222513.575357285), (573478.5618510594 6222481.391908133, 573509.6899132769 6222421.054189702))"
Lerdalen,Holme-Højbjerg-Skåde,102.3,9205.666666666666,Paludan-Müllers Vej,Nymarks Alle,Kirsebærhaven,Solbærhaven,Sandbakken,102.2,103.0,103.0,103.0,101.0,Hasle,Mårslet,Lystrup-Elsted,Lystrup-Elsted,Holme-Højbjerg-Skåde,3,"MULTILINESTRING ((575933.5723357894 6218281.896703238, 575926.8684643768 6218286.845695884, 575924.2792692678 6218290.065040596, 575921.8714827334 6218294.024234714, 575919.8512508809 6218298.343355569, 575918.4412115063 6218300.682879366), (575975.2715703946 6218331.506605285, 575964.9642650245 6218332.196464866), (575964.9642650245 6218332.196464866, 575954.9703017378 6218337.275431057, 575939.9216358975 6218342.434380968), (575964.9642650245 6218332.196464866, 575958.8458485568 6218327.887341976, 575956.7514041057 6218325.837759162, 575953.4942956087 6218323.588217051, 575948.653985007 6218323.128310663, 575943.195236083 6218324.298072562), (575989.3142432307 6218366.349513113, 575984.16883639 6218371.348495584, 575977.9432239465 6218381.956336388), (575974.6861154495 6218321.848571151, 575984.2100656115 6218321.108721744, 575989.6110936254 6218322.67840224, 575994.7977296876 6218325.147899582), (575994.7977296876 6218325.147899582, 576001.2047507056 6218325.087911792, 576007.2159711975 6218325.027924002, 576012.856128696 6218324.5980115095), (575994.7977296876 6218325.147899582, 575993.3134777143 6218331.486609356, 575994.0226203238 6218334.955903191, 575997.0653368691 6218337.935296744, 576001.4851094118 6218340.204834786, 576006.3171741692 6218340.844704542, 576013.3178959766 6218340.25482461), (575931.7500042 6218264.640215746, 575931.6180706914 6218272.758563279, 575931.5356122483 6218276.757749257, 575933.5723357894 6218281.896703238), (575933.5723357894 6218281.896703238, 575937.3984075428 6218284.696133422, 575950.6577251708 6218291.154818775, 575956.6112247526 6218294.184202152, 575961.5752230189 6218298.283367779, 575965.1786569762 6218302.362537476, 575968.2131276772 6218306.061784505, 575970.4395056372 6218311.020775117, 575974.6861154495 6218321.848571151), (575974.6861154495 6218321.848571151, 575975.2715703946 6218331.506605285), (575975.2715703946 6218331.506605285, 575977.6546193962 6218338.465188886, 575980.4417147682 6218344.713916975, 575984.3832283417 6218351.342567733, 575986.815752409 6218355.761668238, 575987.6650743716 6218361.780443133, 575989.3142432307 6218366.349513113), (575989.3142432307 6218366.349513113, 575994.3277165628 6218368.089159013, 575996.4139151697 6218370.318705195, 575997.9064129873 6218373.618033626, 575997.8239545443 6218377.807180937, 575996.3809317924 6218381.966334353, 575991.3674584605 6218389.874724624))"
Lisbjergbakken,Lisbjerg,99.5,3650.0,Smedebroen,Møllegangen,Tandrupvej,Højvangsvej,Jordbrovej,100.0,99.0,100.0,100.0,100.0,Trige-Spørring,Vejlby-Risskov,Harlev-Framlev,Stavtrup-Ormslev,Skejby-Christiansbjerg,2,"MULTILINESTRING ((572186.4380498683 6231408.824754996, 572162.5415930984 6231405.125507967, 572138.2575816466 6231401.056336235, 572116.7936489439 6231399.586635388, 572100.4421397048 6231400.066537705), (572100.4421397048 6231400.066537705, 572079.1843531097 6231403.065927189, 572064.59745455 6231406.525223059, 572055.6177301116 6231408.584803837, 572047.9490949162 6231410.744364264, 572034.8629400184 6231414.853527856, 572028.3817064017 6231416.043285685, 572022.9724325434 6231416.473198177, 572009.4574937422 6231415.503395578, 571997.4597902915 6231414.423615364, 571971.5101182918 6231410.414431422, 571951.513945874 6231408.254870994, 571930.4458136975 6231407.9349361155), (572100.4421397048 6231400.066537705, 572100.1205517773 6231408.324856749, 572099.2300005934 6231413.963708976, 572096.0800880722 6231416.793133056, 572095.1483076668 6231432.439948192, 572093.3094843888 6231462.57381453, 572093.5733514063 6231480.420181953, 572134.3490514503 6231482.829691505))"
Lokesvej,Åby,133.8,9731.083333333334,Willemoesgade,Skovmærkevej,Skejbytoften,Bernhardt Jensens Boulevard,Torsøvej,134.0,133.5,133.5,133.3,133.1,Trøjborg,Vejlby-Risskov,Skejby-Christiansbjerg,De Bynære Havnearealer/Aarhus Ø,Vejlby-Risskov,60,"MULTILINESTRING ((572509.13092055 6223155.264743267, 572479.2809641983 6223117.912346239, 572464.9414409675 6223129.250038485), (572452.6221495891 6223233.538810806, 572411.8959246109 6223183.4790003365, 572426.1529893988 6223171.601417984), (572567.5032523217 6223244.746529508, 572583.5166819446 6223195.846482971), (572596.8089829499 6223254.234598239, 572600.7257589905 6223239.807534826, 572613.2264589433 6223202.535121518), (572520.5843982772 6223230.26947627, 572502.921799795 6223282.558832923), (572558.2679067102 6223242.047078974, 572549.4366074691 6223272.260929031, 572548.9830860328 6223278.70961642, 572550.4590921617 6223283.348672153, 572554.6479810642 6223287.087911042, 572563.0175130246 6223290.597196737, 572625.6034712316 6223309.603328094, 572639.4070145832 6223267.841828527), (572722.4674041774 6223136.868487772, 572729.5011093619 6223128.960097501, 572789.8524437647 6223082.909470974, 572857.1467790648 6223031.54992506, 572865.4915734924 6223022.301807488, 572870.1092462982 6223014.663362271, 572872.4263285453 6223005.595208067, 572872.7808998501 6222996.167127127, 572869.9360835679 6222986.399115377, 572864.0650424291 6222974.131612392, 572856.4211447667 6222963.463783798, 572804.3074088157 6222889.4288533935, 572764.595422686 6222829.29109426, 572752.1112144217 6222812.454521296, 572739.4373517387 6222797.327600337, 572720.9006937612 6222780.680988707, 572710.313029685 6222770.653029868, 572702.93299904 6222761.384916366, 572691.1002124752 6222740.899086198), (572385.1546515588 6223287.177892727, 572396.2370662928 6223278.989559438, 572452.6221495891 6223233.538810806), (572452.6221495891 6223233.538810806, 572467.2337856818 6223221.7312142085, 572475.0838294516 6223218.6918328665, 572483.3626571249 6223218.861798271, 572490.1242494476 6223220.64143603), (572490.1242494476 6223220.64143603, 572520.5843982772 6223230.26947627), (572520.5843982772 6223230.26947627, 572558.2679067102 6223242.047078974), (572558.2679067102 6223242.047078974, 572567.5032523217 6223244.746529508), (572567.5032523217 6223244.746529508, 572596.8089829499 6223254.234598239), (572596.8089829499 6223254.234598239, 572639.4070145832 6223267.841828527), (572639.4070145832 6223267.841828527, 572652.5343987026 6223272.150951417, 572749.4807900912 6223302.884695653), (572749.4807900912 6223302.884695653, 572860.3709041845 6223339.077328746), (572749.4807900912 6223302.884695653, 572755.6816650019 6223288.297664801, 572758.7985941458 6223282.20890415, 572762.5834366777 6223276.790007151, 572764.3892765786 6223272.350910716, 572764.5541934645 6223268.891614846, 572763.902771765 6223264.952416658, 572762.4185197918 6223261.663086192, 572744.6652170223 6223232.389044838, 572734.7949414 6223211.673261476, 572724.4381609642 6223191.6173438, 572720.9831522041 6223184.708750024, 572719.0123954173 6223178.300054496, 572718.1878109877 6223169.091928783, 572718.0228941018 6223161.853402165, 572721.14806909 6223145.746680641, 572722.4674041774 6223136.868487772), (572490.1242494476 6223220.64143603, 572510.804826942 6223157.774232468, 572509.13092055 6223155.264743267))"
Lollandsgade,Vestervang/Klostervang/Ø-gaderne,180.0,9900.0,Bergensgade,Søgade,Helga Pedersens Gade,Ny Munkegade,Fredensgade,180.0,181.5,181.8,182.7,183.5,Skejby-Christiansbjerg,Rådhuskvarteret,De Bynære Havnearealer/Aarhus Ø,Ø-gaderne Øst,Fredens Torv,2,"LINESTRING (574693.8178917227 6224492.632525923, 574682.826181276 6224509.309131447, 574615.5978127304 6224620.016597263, 574542.5396322673 6224737.122760642)"
Lucernevej,Skejby-Christiansbjerg,108.0,6300.0,Klosterport,Dampmøllevej,Skt. Pauls Kirkeplads,Onsholtvej,Kastanjehaven,108.0,108.0,108.0,107.5,108.8,Nørregade,Beder-Malling,Frederiksbjerg Øst,Viby,Lystrup-Elsted,1,"LINESTRING (574503.5285429027 6226100.045341692, 574493.2212375327 6226102.864767807, 574394.8648067694 6226129.54933624)"
Lundbyesgade,Ceresbyen/Godsbanen,126.0,10400.0,Chr. Kiers Plads,Nørreport,Lyøgade,Jægergårdsgade,Baldersgade,126.0,126.0,126.0,125.9,125.8,Frederiksbjerg Vest,Nørregade,Skejby-Christiansbjerg,Frederiksbjerg Øst,Åby,1,"LINESTRING (574330.068962291 6224086.425208247, 574329.425786436 6224085.515393437, 574285.5991240024 6224026.777349397, 574243.141271722 6223970.268851537, 574202.1017046606 6223914.8901237175)"
Lundingsgade,Frederiksbjerg Vest,135.5,9450.0,Bytoften,Frederiks Alle,Odensegade,Åbyvej,Fiskergade,135.5,135.3,135.7,134.9,134.8,Vejlby-Risskov,Frederiksbjerg Vest,Frederiksbjerg Øst,Åby,Fredens Torv,4,"LINESTRING (574260.4822822766 6223066.202871554, 574258.3713461368 6222985.569284286, 574257.761153659 6222954.445619418, 574255.0647625742 6222871.892422883, 574254.0340320371 6222864.473932895, 574250.6284983428 6222858.975052177, 574243.141271722 6222852.256419735)"
Lystrupvej,Vejlby-Risskov,117.5,6100.0,Hans Broges Gade,De Mezas Vej,Søndervangs Alle,Ryhavevej,Skanderborgvej,117.8,117.2,118.0,116.9,118.2,Frederiksbjerg Øst,Frederiksbjerg Vest,Viby,Hasle,Viby,2,"MULTILINESTRING ((576771.4243288668 6229047.355425249, 576746.6373209129 6229048.435205462, 576745.5076402443 6229029.179124982, 576743.7842587865 6229018.421314703, 576741.9701730413 6229011.90264156, 576738.226559731 6229004.94405796, 576733.1965947103 6228997.555561867, 576726.6246568064 6228991.356823602, 576720.2341274769 6228987.177674255, 576713.1839306038 6228983.598402806, 576704.6000066916 6228981.19889122, 576695.7769532949 6228980.209092691, 576687.564092376 6228980.659001113, 576584.6642014056 6228989.527196017), (576592.3410824452 6231556.364723662, 576603.085417563 6231558.984190477, 576611.0838865301 6231562.163543329, 576617.5568743026 6231565.652833094, 576624.8462006602 6231570.331880688, 576630.4698664701 6231574.481036139, 576634.4113800436 6231578.75016717, 576639.8453914347 6231584.0690845195, 576644.7516687909 6231590.547765803, 576648.322119371 6231596.496554944, 576652.2059120345 6231603.795069352, 576654.7291403891 6231611.733453517, 576657.0627143249 6231620.271715579, 576658.0439697962 6231629.8597639585, 576658.1594116163 6231640.947507081, 576657.3513188752 6231647.986074401, 576655.116695071 6231659.023827698, 576652.6511876265 6231664.682675856, 576649.1137204235 6231673.850809709, 576643.4075961707 6231682.299090086, 576637.7262094506 6231689.407643161, 576631.7314806475 6231695.496403811, 576625.2749845636 6231700.83531709, 576618.3072461335 6231705.234421666, 576610.1768436575 6231709.093636134, 576603.3987596462 6231712.153013406, 576594.0232346816 6231714.04262878, 576584.1859424365 6231715.962238049, 576577.127499719 6231716.502128156, 576570.7617079224 6231716.202189208, 576565.7317429018 6231715.762278751, 576556.545872356 6231713.562726463, 576548.3659948143 6231711.223202666, 576539.4110079089 6231706.424179493), (576592.3410824452 6231556.364723662, 576582.5697569543 6231555.074986184, 576571.1492626043 6231555.5148966415, 576562.4004218063 6231556.68465854, 576552.7940132014 6231558.674253563, 576545.5129326879 6231562.0535657145, 576538.0504436 6231565.932776112, 576532.954511825 6231568.692214437, 576527.5122545897 6231572.611416695, 576521.3691005891 6231577.5304154465, 576514.8383919066 6231585.288836243, 576510.1794898794 6231591.577556192, 576505.3061959004 6231600.045832498, 576502.3129544209 6231607.3743408015, 576499.4434006059 6231616.552472619, 576497.9756403212 6231623.47106436, 576496.9614014728 6231631.839361018, 576497.4726438192 6231639.917716691, 576498.4538992904 6231649.675730476, 576501.3646823269 6231660.203587562, 576504.8114452426 6231669.871619661, 576510.113523125 6231679.289702638, 576516.3308897242 6231687.138105119, 576522.2431600845 6231693.8067477355, 576528.5017559052 6231699.065677295, 576534.4552554869 6231703.3847981505, 576539.4110079089 6231706.424179493), (576603.6626266637 6230217.287289001, 576613.0958725384 6230221.04652382, 576618.348475355 6230225.915532747, 576621.9519093123 6230230.304639357, 576624.8214631274 6230235.4835851975, 576625.200771965 6230240.022661282, 576625.0853301449 6230245.671511475, 576624.0875829849 6230251.300365738, 576622.5621017902 6230253.0600075675, 576618.6205882167 6230256.839238316, 576612.889726431 6230261.188353066, 576610.2593021005 6230262.828019317, 576604.5779153806 6230264.5076774275, 576598.2533528055 6230264.767624516), (576603.6626266637 6230217.287289001, 576594.1221848131 6230218.587024444, 576592.0112486733 6230220.026731395, 576585.6701944097 6230225.255667061, 576581.4153387529 6230229.934714654, 576579.2301900145 6230235.243634039, 576578.1829677889 6230242.952065011, 576580.1289870427 6230249.530725943, 576583.897337886 6230255.779454032, 576589.133449014 6230261.538281839, 576594.1056931246 6230264.0877629, 576598.2533528055 6230264.767624516), (576539.4110079089 6231706.424179493, 576526.8855704232 6231719.901436237, 576516.0340393295 6231729.889403215, 576506.4276307246 6231734.578448773, 576496.6150760123 6231737.307893203, 576486.1181162235 6231737.587836222, 576473.7163664022 6231735.628235092, 576459.3768431714 6231732.908788628, 576447.7584485583 6231731.049167149, 576438.2344983963 6231731.779018589, 576422.1551020191 6231737.597834187, 576412.2023679537 6231744.456438137, 576408.1124291829 6231749.595392118, 576401.1446907527 6231760.203232923, 576397.1619479577 6231775.480123356, 576390.0870135517 6231828.45933959, 576384.1417598142 6231873.960078046, 576381.824677567 6231892.066392558, 576364.722796497 6232024.299476896, 576358.5549049636 6232071.239922304, 576346.8540519075 6232159.711914086, 576344.2318734213 6232179.917801236, 576340.7108979069 6232207.952094937, 576338.3855698154 6232237.126156641, 576335.8458497722 6232285.446321211, 576335.6232119763 6232309.861351603, 576335.6397036649 6232313.720566071, 576335.8623414609 6232325.768113827, 576338.1464403309 6232375.617967034, 576339.7213965914 6232405.781827267, 576344.6771490134 6232472.708204596, 576346.5736932014 6232503.172003778, 576347.9342575102 6232527.647021959, 576347.6621446485 6232542.6039775135, 576346.5736932014 6232554.571541551, 576345.4852417543 6232564.089604177, 576341.7498742882 6232575.557269966, 576337.0579888838 6232586.665009018, 576312.8564358748 6232661.17984174, 576305.2455215896 6232687.564471224, 576288.654882866 6232737.874230819, 576278.5867069805 6232769.697753233, 576267.4383254922 6232794.452714432, 576256.8341697275 6232818.927732613, 576249.940643896 6232832.894889638, 576241.0598695892 6232853.200756438, 576234.2570480449 6232868.157711993, 576231.2638065654 6232880.12527603, 576229.0869036713 6232893.452563299, 576228.8147908095 6232907.869628747, 576230.4392221358 6232932.614591981, 576228.8147908095 6232953.550330572, 576223.9167592977 6232974.7660121815, 576214.3928091357 6232996.791528951, 576202.1559762004 6233016.917432382, 576191.5518204357 6233031.0645527765, 576181.7640032563 6233048.201064689, 576174.961181712 6233064.78768853, 576170.6073759238 6233078.934808924, 576154.4537669477 6233133.873626287, 576148.582725809 6233158.348644468, 576139.6030013706 6233190.4421119355, 576133.8968771177 6233209.758180206, 576125.7334912646 6233230.1540286895, 576105.0611596145 6233280.463788283, 576099.0829224997 6233296.240576964, 576093.6406652645 6233314.186924037, 576088.2066538733 6233331.323435949, 576075.1452365083 6233383.272861794, 576060.1377998895 6233446.25004297, 576048.4946677436 6233494.230276733, 576037.898757823 6233539.251112872, 576027.2863562141 6233584.261951046, 576021.2916274108 6233612.896122643, 576012.0562817993 6233654.967559123, 576003.6207830844 6233690.600306181, 575994.6493044903 6233725.413220113, 575985.3974671902 6233757.776632634, 575973.1606342548 6233790.679935263, 575963.6449299372 6233814.075173229, 575958.4747855635 6233827.402460499, 575954.1209797752 6233842.359416054, 575950.1629745131 6233860.685685794), (576598.2533528055 6230264.767624516, 576588.0862267885 6230313.997603896, 576579.5352862534 6230384.233307621, 576561.9056711484 6230516.716341084, 576544.399743708 6230652.128778273, 576528.0564803132 6230775.653635146, 576516.3638731014 6230864.785492614, 576500.4906228315 6230998.538267624, 576499.2455003428 6231038.320170132, 576500.8039649148 6231095.808468556, 576504.8444286198 6231142.47896891, 576514.0385450099 6231201.227010916, 576523.1666946457 6231242.118687534, 576535.7333613528 6231291.678599757, 576569.244472572 6231378.001029076, 576581.8276309677 6231404.495636175, 576589.1664323913 6231421.832107387, 576595.5239783435 6231443.2177544, 576599.6304088029 6231463.663592709, 576601.4774779252 6231484.4993516505, 576599.8365549103 6231521.111899273, 576592.3410824452 6231556.364723662), (576778.9527847092 6228966.801821701, 576773.461052408 6229027.049558449, 576771.4243288668 6229047.355425249), (576771.4243288668 6229047.355425249, 576770.8058905447 6229060.552738974, 576767.2849150302 6229079.838813349, 576762.1477540338 6229114.211816823), (576762.1477540338 6229114.211816823, 576741.8959604426 6229252.403688268, 576740.7003130197 6229259.462251517, 576739.7355492371 6229264.5112238135, 576730.120894788 6229327.208461972, 576721.3885456783 6229385.786538574, 576711.2461571943 6229452.992858922, 576692.7507284383 6229574.058216418, 576682.1383268292 6229643.854009687, 576681.3797091539 6229647.2133259075, 576660.7650984138 6229785.365205492, 576650.2516469364 6229850.671912501, 576648.8498534061 6229860.229966986, 576643.5147921465 6229891.813538242, 576640.8121436345 6229915.996742243), (576640.8121436345 6229915.996742243, 576636.7202164466 6229952.611163061, 576617.7795120985 6230090.303136258, 576608.0246782963 6230169.337049134, 576603.6626266637 6230217.287289001), (576762.1477540338 6229114.211816823, 576749.3666953748 6229112.16223401, 576743.0256411112 6229111.182433446, 576738.4821809041 6229111.012468042, 576732.3720102807 6229111.742319482, 576690.7799716515 6229118.33097838), (576601.5187071468 6231492.147794832, 576616.427193634 6231490.628104161, 576626.2562400348 6231491.307965777, 576635.9203695498 6231492.827656448, 576647.4398140314 6231496.556897372, 576660.4929855521 6231502.4856905835, 576670.3137861086 6231506.214931507, 576679.4666732773 6231507.744620143, 576689.1308027923 6231507.574654739, 576697.2612052681 6231505.705035295, 576708.7888955941 6231501.475896124, 576725.5609428922 6231493.847448872, 576758.6020409864 6231481.14003543, 576778.7713761346 6231470.122278063, 576794.0261880823 6231460.804174735, 576807.2442764889 6231450.806209792), (576640.7936635287 6229915.998615439, 576640.8121436345 6229915.996742243), (576640.8121436345 6229915.996742243, 576653.7149015407 6229914.6888820315, 576674.0409077305 6229907.290387974, 576701.1944729973 6229892.043491435))"
Lyøgade,Skejby-Christiansbjerg,126.0,8876.0,Chr. Kiers Plads,Lundbyesgade,Nørreport,Jægergårdsgade,Baldersgade,126.0,126.0,126.0,125.9,125.8,Frederiksbjerg Vest,Ceresbyen/Godsbanen,Nørregade,Frederiksbjerg Øst,Åby,3,"LINESTRING (574607.6570646733 6226041.537250845, 574593.0041993591 6226053.164884074, 574578.9285431458 6226064.802515267, 574568.5140417998 6226073.130820066, 574559.8641511333 6226078.829660083, 574551.2307521553 6226083.81864459, 574537.4601921809 6226089.417504958, 574523.9040241583 6226093.766619708, 574503.5285429027 6226100.045341692)"
M.P. Bruuns Gade,Frederiksbjerg Øst,127.7,10669.333333333334,Banegårdspladsen,Vesterbrogade,Otte Ruds Gade,Brassøvej,Ivar Huitfeldts Gade,127.7,127.8,127.6,127.6,127.5,Rådhuskvarteret,Botanisk Have/Amtssygehuset,Trøjborg,Vejlby-Risskov,Trøjborg,3,"MULTILINESTRING ((574742.0808183874 6223432.6182887545, 574753.3446416958 6223344.7661708, 574757.360367868 6223311.322978064, 574768.2861115603 6223233.1188962795, 574780.1766190352 6223141.797484488, 574784.0274283214 6223111.673616115, 574792.4959104134 6223046.596862299), (574792.4959104134 6223046.596862299, 574798.5566059711 6223045.64705563, 574813.3249131053 6223030.0602282835), (574792.4959104134 6223046.596862299, 574787.2103242197 6223044.8372204695, 574777.0596898913 6223025.451166445))"
Malmøgade,Skejby-Christiansbjerg,137.3,8933.333333333334,Hans Schourups Gade,Markvangen,Bronzealdervænget,Tulipanlunden,Kaserneboulevarden,137.3,137.4,137.0,137.0,138.0,Holme-Højbjerg-Skåde,Viby,Tilst,Tilst,Vestervang/Klostervang/Ø-gaderne,6,"MULTILINESTRING ((574160.1221113494 6226788.165276869, 574083.4440052405 6226803.9720594445), (574430.8661629659 6226752.642507426, 574417.6728120922 6226748.163419132, 574405.2215872052 6226745.903879055, 574339.230095304 6226740.325014616, 574328.510497719 6226739.575167246, 574318.9453183357 6226738.675350401, 574316.5787610227 6226738.805323945, 574312.8681310895 6226739.2652303325, 574308.9596008931 6226740.075065493, 574305.6200339532 6226741.0748619875, 574300.8291984173 6226743.464375609, 574291.7835072244 6226749.963052821, 574272.2078728656 6226763.160366546, 574268.6621598183 6226765.129965641, 574264.9350381965 6226766.569672592, 574260.548249031 6226767.819418211, 574230.690046835 6226773.618237877, 574160.1221113494 6226788.165276869))"
Maren Smeds Gyde,Åboulevarden,140.0,10995.0,Ceres Alle,Katrinebjergvej,Skovvejen,Solbakken,Vestervang,140.2,140.4,140.5,139.5,140.7,Ceresbyen/Godsbanen,Skejby-Christiansbjerg,Nordre Kirkegård,Vejlby-Risskov,Vestervang/Klostervang/Ø-gaderne,1,"LINESTRING (575030.4792226418 6224265.948666766, 575027.477735318 6224260.02987152, 575004.8099093481 6224212.159615372)"
Mariane Thomsens Gade,De Bynære Havnearealer/Aarhus Ø,127.3,14853.333333333334,Ivar Huitfeldts Gade,Horsensgade,Skovgaardsgade,Brassøvej,Otte Ruds Gade,127.5,127.0,127.0,127.6,127.6,Trøjborg,Frederiksbjerg Vest,Ceresbyen/Godsbanen,Vejlby-Risskov,Trøjborg,9,"LINESTRING (576228.8477741868 6225281.9318663245, 576244.9106788754 6225263.7155741975, 576266.259169758 6225241.790037078, 576281.274852221 6225228.3827660885, 576296.2905346841 6225216.5851674555, 576318.8099354566 6225202.648004325, 576351.7933126409 6225184.411716268)"
Marius Simonsens Vej,Skejby-Christiansbjerg,122.0,8200.0,Oslogade,Strandparken,Nordlandsvej,Tove Ditlevsens Gade,Vikærsvej,122.0,121.8,121.7,121.6,121.6,Skejby-Christiansbjerg,Frederiksbjerg Øst,Vejlby-Risskov,Vejlby-Risskov,Vejlby-Risskov,1,"MULTILINESTRING ((574809.1525158915 6226175.569968873, 574810.4306217574 6226215.991741138, 574809.6060373278 6226219.531020728, 574808.0145893786 6226223.230267757, 574805.8541781731 6226226.749551417, 574804.2792219125 6226229.738942935, 574803.4463916386 6226233.288220489, 574804.6173015287 6226260.172748222), (574804.6173015287 6226260.172748222, 574804.9306436119 6226272.180304118, 574805.573819467 6226278.059107505, 574805.6727695985 6226282.6881652735, 574805.5490819342 6226288.556970695, 574805.2439856952 6226294.605739486, 574804.3781720441 6226299.744693466, 574803.6690294347 6226306.673283173, 574802.9516409809 6226314.13176502, 574802.8197074721 6226320.890389321, 574802.6795281192 6226327.818979027, 574803.1083120225 6226334.767564663, 574806.2829620765 6226349.544556849))"
Markvangen,Viby,137.4,6790.0,Hans Schourups Gade,Malmøgade,Tulipanlunden,Bronzealdervænget,Vester Alle,137.3,137.3,137.0,137.0,138.0,Holme-Højbjerg-Skåde,Skejby-Christiansbjerg,Tilst,Tilst,Ceresbyen/Godsbanen,5,"LINESTRING (571578.2163287475 6221383.965286149, 571577.7133322454 6221370.957933757, 571575.6188877942 6221363.059541453, 571572.9554800865 6221356.490878485, 571570.5889227736 6221351.461902118, 571566.7133759544 6221346.053003084, 571561.3288396291 6221340.424148821, 571512.2743119119 6221298.522677745, 571460.1111008951 6221254.491640135)"
