website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
Site A,2015,apartment,9700,95,8000,Søndre Ringgade,Aarhus C,2
Site A,2015,apartment,11100,74,8200,Niels Juels Gade,Aarhus N,3
Site A,2015,apartment,7200,65,8000,P. P. Ørums Gade,Aarhus C,2
Site A,2015,apartment,8780,75,8000,Frederiks Allé,Aarhus C,3
Site A,2015,apartment,8900,83,8000,Amaliegade,Aarhus C,1
Site A,2015,apartment,13000,147,8000,Sønder Alle,Aarhus C,3
Site A,2015,apartment,5100,50,8000,Holbergsgade,Aarhus C,2
Site A,2015,apartment,9500,84,8000,Strandvejen,Aarhus C,3
Site A,2015,apartment,7500,68,8000,Ny Munkegade,Aarhus C,2
Site A,2015,apartment,8700,66,8000,Grete Løchtes Gade,Aarhus C,2
Site A,2015,apartment,7200,86,8000,Montanagade,Aarhus C,2
Site A,2015,apartment,5800,44,8230,Eriks Bøghs Vej,Åbyhøj,1
Site A,2015,apartment,7370,61,8200,Ivar Huitfeldts Gade,Aarhus N,2
Site A,2015,apartment,6417,100,8000,Vester Allé,Aarhus C,4
Site A,2015,apartment,6000,71,8000,Vestre Ringgade,Aarhus C,2
Site A,2015,apartment,7500,61,8000,Hans Schourups Gade,Aarhus C,3
Site A,2015,apartment,9650,129,8000,Thorvaldsensgade,Aarhus C,4
Site A,2015,apartment,6300,56,8240,Kantorvænget,Risskov,2
Site A,2015,apartment,9194,69,8200,Margrethehøjparken,Aarhus N,3
Site A,2015,apartment,10225,101,8000,Thorvaldsensgade,Aarhus C,2
Site A,2015,apartment,7200,76,8000,Strandvejen,Aarhus C,3
Site A,2015,apartment,14840,145,8000,Vestervang,Aarhus C,5
Site A,2015,room,3500,15,8200,Willemoesgade,Aarhus N,1
Site A,2015,apartment,6900,70,8230,Helgesvej,Åbyhøj,2
Site A,2015,apartment,9850,93,8000,Marselisborg Alle,Aarhus C,4
Site A,2015,apartment,9650,100,8000,Samsøgade,Aarhus C,4
Site A,2015,apartment,5600,33,8000,Skovvejen,Aarhus C,2
Site A,2015,apartment,9500,93,8000,Ålborggade,Aarhus C,3
Site A,2015,apartment,9500,91,8000,Nørre Alle,Aarhus C,3
Site A,2015,apartment,9175,90,8000,Amaliegade,Aarhus C,3
Site A,2015,apartment,12200,122,8000,Amaliegade,Aarhus C,3
Site A,2015,apartment,8000,90,8000,F. Vestergaards Gade,Aarhus C,2
Site A,2015,apartment,9345,115,8000,Høegh-Guldbergs Gade,Aarhus C,4
Site A,2015,apartment,5793,55,8230,Haslevej,Åbyhøj,2
Site A,2015,apartment,8000,83,8000,Studsgade,Aarhus C,3
Site A,2015,apartment,7498,64,8000,Silkeborgvej,Aarhus C,2
Site A,2015,apartment,8000,99,8000,Frederiks Allé,Aarhus C,3
Site A,2015,apartment,6000,60,8000,De Mezas Vej,Aarhus C,2
Site A,2015,apartment,8150,64,8000,Nordborggade,Aarhus C,2
Site A,2015,apartment,4150,56,8000,Langelandsgade,Aarhus C,2
Site A,2015,apartment,6105,43,8000,Ingerslevs Boulevard,Aarhus C,1
Site A,2015,apartment,10400,118,8270,Skåde Skovvej,Højbjerg,3
Site A,2015,apartment,8659,89,8240,Engholms Allé,Risskov,3
Site A,2015,apartment,6300,67,8230,Dr. Holsts Vej,Åbyhøj,2
Site A,2015,apartment,7100,71,8200,Tordenskjoldsgade,Aarhus N,3
Site A,2015,apartment,5000,46,8240,Vikærsvej,Risskov,2
Site A,2015,apartment,8390,78,8000,Åboulevarden,Aarhus C,2
Site A,2015,apartment,8339,110,8270,Oddervej,Højbjerg,4
Site A,2015,apartment,5400,70,8270,Oddervej,Højbjerg,2
Site A,2015,apartment,4200,32,8200,Brendstrupvej,Aarhus N,1
Site A,2015,apartment,11703,99,8000,Daugbjergvej,Aarhus C,3
Site A,2015,apartment,8800,73,8000,M. P. Bruuns Gade,Aarhus C,2
Site A,2015,apartment,9500,118,8000,Høegh-Guldbergs Gade,Aarhus C,4
Site A,2015,apartment,7600,80,8260,Skanderborgvej,Viby J,2
Site A,2015,apartment,8600,69,8000,Grønnegade,Aarhus C,2
Site A,2015,apartment,8600,89,8220,Hoffmannsvej,Brabrand,4
Site A,2015,apartment,8300,87,8220,Hoffmannsvej,Brabrand,3
Site A,2015,apartment,4980,39,8220,Hoffmannsvej,Brabrand,1
Site A,2015,apartment,15500,153,8000,Skolebakken,Aarhus C,5
Site A,2015,apartment,7000,89,8210,Vintervej,Aarhus V,3
Site A,2015,apartment,4500,36,8270,Holmevej,Højbjerg,1
Site A,2015,apartment,8750,101,8260,Skanderborgvej,Viby J,4
Site A,2015,apartment,9780,63,8000,Godthåbsgade,Aarhus C,3
Site A,2015,apartment,8925,83,8000,Sølystgade,Aarhus C,3
Site A,2015,apartment,12960,112,8000,Frederiksgade,Aarhus C,3
Site A,2015,apartment,11588,102,8200,Oluf Palmes Alle,Aarhus N,3
Site A,2015,apartment,11703,99,8000,Daugbjergvej,Aarhus C,3
Site A,2015,apartment,8470,83,8000,Silkeborgvej,Aarhus C,3
Site A,2015,apartment,6900,80,8000,Kirkegårdsvej,Aarhus C,3
Site A,2015,apartment,7663,65,8000,Kirkegårdsvej,Aarhus C,2
Site A,2015,apartment,7200,69,8000,Ewaldsgade,Aarhus C,3
Site A,2015,apartment,11790,79,8000,Ryesgade,Aarhus C,4
Site A,2015,apartment,6855,46,8000,Ryesgade,Aarhus C,2
Site A,2015,room,3800,40,8240,Alsvej,Risskov,1
Site A,2015,room,3700,12,8000,Chr. Kiers Plads,Aarhus C,1
Site A,2015,room,4000,19,8210,Hasle Centervej,Aarhus V,1
Site A,2015,room,3100,21,8000,Hans Hartvig Seedorffs Stræde,Aarhus C,1
Site A,2015,room,3518,26,8000,M. P. Bruuns Gade,Aarhus C,1
Site A,2015,room,2500,8,8000,M. P. Bruuns Gade,Aarhus C,1
Site A,2015,room,3600,16,8000,Vesterbrogade,Aarhus C,1
Site A,2015,room,4430,15,8000,Vestergade,Aarhus C,1
Site A,2015,room,4300,12,8200,Kalmargade,Aarhus N,1
Site A,2015,room,3400,14,8000,Vestergade,Aarhus C,1
Site A,2015,room,3885,20,8000,Harald Jensens Plads,Aarhus C,1
Site A,2015,room,3192,23,8000,Skt. Pauls Gade,Aarhus C,1
Site A,2015,room,2500,13,8210,Hammerhusvej,Aarhus V,1
Site A,2015,room,2392,23,8000,Molsgade,Aarhus C,1
Site A,2015,room,2670,14,8000,Saltholmsgade,Aarhus C,1
Site A,2015,room,3500,18,8200,Cort Adelers Gade,Aarhus N,1
Site A,2015,room,3750,22,8000,Harald Jensens Plads,Aarhus C,1
Site A,2015,room,3900,32,8230,Helgesvej,Åbyhøj,1
Site A,2015,room,3600,20,8200,Herlufs Trolles Gade,Aarhus N,1
Site A,2015,room,3475,11,8210,Bronzealdervænget,Aarhus V,1
Site A,2015,room,3500,12,8200,Randersvej,Aarhus N,1
Site A,2015,room,2800,13,8000,Vesterbrogade,Aarhus C,1
Site A,2015,room,4000,16,8000,Jerichausgade,Aarhus C,1
Site A,2016,apartment,8689,72,8200,Katrinebjergvej,Aarhus N,2
Site A,2016,apartment,10000,120,8000,Fåborggade,Aarhus C,4
Site A,2016,apartment,6799,79,8260,Fredensvej,Viby J,2
Site A,2016,room,3850,10,8000,Finderupvej,Aarhus C,1
Site A,2016,apartment,6200,54,8000,Falstersgade,Aarhus C,2
Site A,2016,room,3500,16,8240,Baldrianvej,Risskov,1
Site A,2016,apartment,6600,72,8000,Assensgade,Aarhus C,2
Site A,2016,apartment,9820,89,8000,Langenæs Allé,Aarhus C,4
Site A,2016,apartment,8800,77,8000,Tage-Hansens Gade,Aarhus C,2
Site A,2016,apartment,7300,66,8000,Viborgvej,Aarhus C,2
Site A,2016,apartment,6500,47,8240,Nordlandsvej,Risskov,2
Site A,2016,apartment,9375,75,8000,Thit Jensens Gade,Aarhus C,2
Site A,2016,room,3200,11,8210,Bronzealdervænget,Aarhus V,1
Site A,2016,room,3700,15,8000,Høegh-Guldbergs Gade,Aarhus C,1
Site A,2016,room,2500,10,8000,Langelandsgade,Aarhus C,1
Site A,2016,apartment,11500,110,8000,Høegh-Guldbergs Gade,Aarhus C,3
Site A,2016,apartment,9000,125,8000,Plutovej,Aarhus C,4
Site A,2016,apartment,5900,50,8270,Elverdalsvej,Højbjerg,2
Site A,2016,apartment,9000,125,8230,Tousvej,Åbyhøj,4
Site A,2016,room,3000,14,8200,Willemoesgade,Aarhus N,1
Site A,2016,room,4000,26,8000,Thunøgade,Aarhus C,1
Site A,2016,apartment,7500,66,8000,Heibergsvej,Aarhus C,2
Site A,2016,apartment,7200,64,8000,Vesterbrogade,Aarhus C,2
Site A,2016,room,4300,13,8000,Grete Løchtes Gade,Aarhus C,1
Site A,2016,apartment,9300,93,8000,Vestre Ringgade,Aarhus C,3
Site A,2016,apartment,5200,45,8000,Kongsvang Alle,Aarhus C,1
Site A,2016,room,2812,20,8000,Jyllands Alle,Aarhus C,1
Site A,2016,apartment,17558,140,8000,Thit Jensens Gade,Aarhus C,4
Site A,2016,apartment,6000,60,8260,Klokkeskovsvej,Viby J,2
Site A,2016,room,5000,20,8000,Skt. Olufs Gade,Aarhus C,1
Site A,2016,room,3000,17,8210,Helge Rodes Vej,Aarhus V,1
Site A,2016,room,3400,20,8200,Tordenskjoldsgade,Aarhus N,1
Site A,2016,apartment,11490,98,8240,Sletterhagevej,Risskov,4
Site A,2016,room,4000,23,8200,Abildgade,Aarhus N,1
Site A,2016,room,3600,15,8200,Marius Simonsens Vej,Aarhus N,1
Site A,2016,room,2315,16,8000,Jyllands Alle,Aarhus C,1
Site A,2016,room,2700,10,8270,Mølleskovvej,Højbjerg,1
Site A,2016,apartment,8950,81,8220,Hoffmannsvej,Brabrand,3
Site A,2016,apartment,8000,67,8260,Damagervej,Viby J,2
Site A,2016,apartment,8000,104,8240,Rolighedsvej,Risskov,4
Site A,2016,room,4000,16,8000,Østboulevarden,Aarhus C,1
Site A,2016,apartment,6446,70,8260,Holme Møllevej,Viby J,2
Site A,2016,apartment,10866,106,8000,Østergade,Aarhus C,3
Site A,2016,apartment,7500,75,8200,Oslogade,Aarhus N,4
Site A,2016,apartment,8954,65,8000,Østergade,Aarhus C,2
Site A,2016,apartment,5162,40,8270,Oddervej,Højbjerg,1
Site A,2016,apartment,11150,109,8000,P. P. Ørums Gade,Aarhus C,3
Site A,2016,apartment,9917,91,8000,Nørre Alle,Aarhus C,3
Site A,2016,apartment,10400,95,8000,Vestergade,Aarhus C,3
Site A,2016,apartment,9900,89,8000,Langenæs Allé,Aarhus C,3
Site A,2016,apartment,9985,89,8000,P. P. Ørums Gade,Aarhus C,3
Site A,2016,apartment,9350,79,8000,Augustenborgsgade,Aarhus C,3
Site A,2016,apartment,11380,110,8000,Ålborggade,Aarhus C,4
Site A,2016,apartment,9400,88,8000,Stadion Allé,Aarhus C,3
Site A,2016,apartment,9530,90,8000,Rudolph Wulffs Gade,Aarhus C,3
Site A,2016,apartment,9820,89,8000,Langenæs Allé,Aarhus C,4
Site A,2016,apartment,8730,83,8000,Silkeborgvej,Aarhus C,3
Site A,2016,apartment,9200,80,8000,Thorvaldsensgade,Aarhus C,3
Site A,2016,apartment,9360,87,8000,Søndre Ringgade,Aarhus C,3
Site A,2016,apartment,9430,88,8000,De Mezas Vej,Aarhus C,3
