web-scraper-order,web-scraper-start-url,price,address,type_rooms_kvm
1684829051-63,https://boligzonen.dk/lejebolig/aarhus,15.600,"Guldsmedgade, Aarhus C",Lejlighed / 8 vær. / 142 m2
1684829051-64,https://boligzonen.dk/lejebolig/aarhus,6.265,"Tøndergade, Aarhus C",Lejlighed / 1 vær. / 40 m2
1684829051-65,https://boligzonen.dk/lejebolig/aarhus,6.500,"Børglumvej, Risskov",Lejlighed / 2 vær. / 44 m2
1684829051-66,https://boligzonen.dk/lejebolig/aarhus,9.400,"Nørre Alle, Aarhus C",Lejlighed / 2 vær. / 94 m2
1684829051-67,https://boligzonen.dk/lejebolig/aarhus,10.600,"Thit Jensens Gade, Aarhus C",Lejlighed / 3 vær. / 95 m2
1684829051-68,https://boligzonen.dk/lejebolig/aarhus,9.300,"Studsgade, Aarhus C",Lejlighed / 2 vær. / 80 m2
1684829051-69,https://boligzonen.dk/lejebolig/aarhus,10.190,"Rødbedevej, Aarhus N",Hus / 4 vær. / 88 m2
1684829051-70,https://boligzonen.dk/lejebolig/aarhus,10.920,"Fuglekærvej, Aarhus C",Lejlighed / 5 vær. / 104 m2
1684829051-71,https://boligzonen.dk/lejebolig/aarhus,7.095,"Kalmargade, Aarhus N",Lejlighed / 2 vær. / 63 m2
1684829051-72,https://boligzonen.dk/lejebolig/aarhus,9.995,"Paludan Müllers Vej, Aarhus V",Lejlighed / 4 vær. / 109 m2
1684829051-73,https://boligzonen.dk/lejebolig/aarhus,9.904,"Dirch Passers Gade, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829051-74,https://boligzonen.dk/lejebolig/aarhus,5.845,"Tulipanlunden, Aarhus N",Lejlighed / 2 vær. / 35 m2
1684829051-75,https://boligzonen.dk/lejebolig/aarhus,7.000,"Ivar Huitfeldts Gade, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829055-76,https://boligzonen.dk/lejebolig/aarhus,8.058,"Frederiks Allé, Aarhus C",Lejlighed / 2 vær. / 73 m2
1684829055-77,https://boligzonen.dk/lejebolig/aarhus,9.785,"Sønder Allé, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829055-78,https://boligzonen.dk/lejebolig/aarhus,8.650,"Åhusene, Aarhus C",Lejlighed / 3 vær. / 58 m2
1684829055-79,https://boligzonen.dk/lejebolig/aarhus,7.600,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 73 m2
1684829055-80,https://boligzonen.dk/lejebolig/aarhus,6.354,"Grøfthøjparken, Viby J",Lejlighed / 2 vær. / 67 m2
1684829055-81,https://boligzonen.dk/lejebolig/aarhus,10.995,"Edouard Suensons Gade, Aarhus N",Lejlighed / 4 vær. / 74 m2
1684829055-82,https://boligzonen.dk/lejebolig/aarhus,8.650,"Åhusene, Aarhus C",Lejlighed / 3 vær. / 58 m2
1684829055-83,https://boligzonen.dk/lejebolig/aarhus,13.200,"Banegårdsgade, Aarhus C",Lejlighed / 5 vær. / 113 m2
