web-scraper-order,web-scraper-start-url,pagination,prices,address,zip_code,rooms_kvm
"1684830206-166","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.950 kr./md.","Møllevangs Allé  1","8200 Aarhus N","2 rum, 56 m²"
"1684830206-167","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.422 kr./md.","Fredens Torv  3","8000 Aarhus C","4 rum, 104 m²"
"1684830206-168","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.420 kr./md.","Islandsgade  1","8200 Aarhus N","3 rum, 84 m²"
"1684830206-169","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Otte Ruds Gade  4","8200 Aarhus N","2 rum, 64 m²"
"1684830206-170","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.300 kr./md.","Kantorparken  3","8240 Risskov","2 rum, 68 m²"
"1684830206-171","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.300 kr./md.","Studsgade  1","8000 Aarhus C","2 rum, 80 m²"
"1684830206-172","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.200 kr./md.","Søren Frichs Vej  1","8230 Åbyhøj","1 rum, 37 m²"
"1684830206-173","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.800 kr./md.","Otto Brandenburgs Gade  4","8000 Aarhus C","2 rum, 62 m²"
"1684830206-174","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.800 kr./md.","Lokesvej","8230 Åbyhøj","2 rum, 53 m²"
"1684830206-175","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.600 kr./md.","åparken","8000 Aarhus C","3 rum, 83 m²"
"1684830206-176","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.513 kr./md.","Sandgravvej  2","8000 Aarhus C","3 rum, 71 m²"
"1684830206-177","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.400 kr./md.","Guldsmedgade  1","8000 Aarhus C","2 rum, 66 m²"
"1684830206-178","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Lollandsgade  2","8000 Aarhus C","2 rum, 55 m²"
"1684830206-179","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.795 kr./md.","Engelundsvej","8260 Viby J","3 rum, 57 m²"
"1684830206-180","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.200 kr./md.","Skanderborgvej  2","8000 Aarhus C","2 rum, 73 m²"
"1684830206-181","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","12.500 kr./md.","Stenvej","8270 Højbjerg","4 rum, 105 m²"
"1684830206-182","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.900 kr./md.","Grenåvej","8541 Skødstrup","2 rum, 69 m²"
"1684830206-183","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.500 kr./md.","Carl Jensens Vej  1","8260 Viby J","4 rum, 101 m²"
"1684830206-184","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.600 kr./md.","Åhusene  6","8000 Aarhus C","3 rum, 68 m²"
"1684830206-185","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.200 kr./md.","Sønderholmvej","8361 Hasselager","4 rum, 107 m²"
"1684830206-186","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.900 kr./md.","De Mezas Vej","8000 Aarhus C","3 rum, 105 m²"
"1684830206-187","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.500 kr./md.","Åparken  2","8000 Aarhus C","2 rum, 52 m²"
"1684830206-188","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.000 kr./md.","Brendstrupvej  3","8200 Aarhus N","2 rum, 60 m²"
"1684830206-189","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.984 kr./md.","Jens Baggesens Vej  1","8200 Aarhus N","2 rum, 51 m²"
"1684830206-190","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.195 kr./md.","Guldsmedgade","8000 Aarhus C","2 rum, 64 m²"
"1684830206-191","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.995 kr./md.","Engtoften  1","8260 Viby J","1 rum, 38 m²"
"1684830206-192","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.595 kr./md.","Skanderborgvej  3","8260 Viby J","2 rum, 57 m²"
"1684830206-193","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.695 kr./md.","Ellebrinken","8520 Lystrup","3 rum, 57 m²"
"1684830206-194","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","12.500 kr./md.","Christiansgade  1","8000 Aarhus C","3 rum, 107 m²"
"1684830206-195","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Kastanjehaven  1","8520 Lystrup","2 rum, 48 m²"
"1684830206-196","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.750 kr./md.","Markvangen  1","8260 Viby J","2 rum, 48 m²"
"1684830206-197","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.500 kr./md.","Åboulevarden  4","8000 Aarhus C","1 rum, 62 m²"
"1684830206-198","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.975 kr./md.","Ny Munkegade  4","8000 Aarhus C","3 rum, 83 m²"
"1684830206-199","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.500 kr./md.","Dr. Holsts Vej  1","8230 Åbyhøj","1 rum, 27 m²"
"1684830206-200","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.250 kr./md.","Fiskergade  4","8000 Aarhus C","3 rum, 96 m²"
"1684830206-201","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.300 kr./md.","Fiskergade  2","8000 Aarhus C","2 rum, 70 m²"
