web-scraper-order,price,address,kvm,rooms
1684834100-94,"9.729,- pr. mdr.","Olof Palmes Allé, Århus N",80 m²,3 vær.
1684834100-95,"6.900,- pr. mdr.","Olof Palmes Allé, Århus N",52 m²,2 vær.
1684834100-96,"8.400,- pr. mdr.","Finderupvej, Århus C",61 m²,2 vær.
1684834100-97,"13.500,- pr. mdr.","Sønder Allé, Århus C",112 m²,3 vær.
1684834100-98,"8.600,- pr. mdr.","Kværnloftet, Risskov",69 m²,2 vær.
1684834100-99,"13.265,- pr. mdr.","Engtoften, Viby J",111 m²,4 vær.
1684834100-100,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",35 m²,1 vær.
1684834100-101,"7.100,- pr. mdr.","Vester Allé, Århus C",50 m²,2 vær.
1684834100-102,"7.777,- pr. mdr.","Doris Kæraas Gade, Risskov",61 m²,3 vær.
1684834100-103,"8.295,- pr. mdr.","Søren Frichs Vej, Åbyhøj",58 m²,2 vær.
1684834100-104,"6.050,- pr. mdr.","Møllevangen, Tranbjerg J",560 m²,2 vær.
1684834100-105,"8.800,- pr. mdr.","Broloftet, Risskov",73 m²,2 vær.
1684834100-106,"7.644,- pr. mdr.","Eya Jensens Gade, Risskov",61 m²,2 vær.
1684834100-107,"7.912,- pr. mdr.","Vikærsvej, Risskov",57 m²,2 vær.
1684834100-108,"10.695,- pr. mdr.","Brassøvej, Risskov",98 m²,4 vær.
1684834100-109,"9.915,- pr. mdr.","Orla Lehmanns Allé, Århus C",92 m²,3 vær.
1684834100-110,"7.100,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-111,"9.000,- pr. mdr.","Kværnloftet, Risskov",82 m²,2 vær.
1684834100-112,"11.851,- pr. mdr.","Katrinebjergvej, Århus N",78 m²,3 vær.
1684834100-113,"11.995,- pr. mdr.","Engtoften, Viby J",112 m²,4 vær.
1684834100-114,"7.590,- pr. mdr.","Eya Jensens Gade, Risskov",61 m²,3 vær.
1684834100-115,"9.915,- pr. mdr.","Orla Lehmanns Allé, Århus C",92 m²,3 vær.
1684834100-116,"14.900,- pr. mdr.","Vestre Strandallé, Risskov",128 m²,3 vær.
1684834100-117,"7.724,- pr. mdr.","Eya Jensens Gade, Risskov",60 m²,2 vær.
1684834100-118,"13.150,- pr. mdr.","Fiskergade, Århus C",102 m²,4 vær.
1684834100-119,"15.326,- pr. mdr.","Orla Lehmanns Allé, Århus C",157 m²,4 vær.
