web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-338","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","18.300,- pr. mdr.","Kristine Nielsens Gade, Århus C","98 m²","2 vær."
"1684834100-339","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.970,- pr. mdr.","Helle Virkners Plads, Århus C","82 m²","3 vær."
"1684834100-340","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.095,- pr. mdr.","Møllehatten, Risskov","67 m²","2 vær."
"1684834100-341","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.300,- pr. mdr.","Kongevellen, Risskov","68 m²","3 vær."
"1684834100-342","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj","34 m²","1 vær."
"1684834100-343","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.970,- pr. mdr.","John Mogensens Gade, Århus C","119 m²","4 vær."
"1684834100-344","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.200,- pr. mdr.","Kongevellen, Risskov","52 m²","2 vær."
"1684834100-345","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","65 m²","3 vær."
"1684834100-346","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.970,- pr. mdr.","Tommy Seebachs Gade, Århus C","81 m²","3 vær."
"1684834100-347","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.750,- pr. mdr.","Nordlandsvej, Risskov","470 m²","2 vær."
"1684834100-348","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.600,- pr. mdr.","Kværnloftet, Risskov","114 m²","4 vær."
"1684834100-349","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.950,- pr. mdr.","Engtoften, Viby J","76 m²","3 vær."
"1684834100-350","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.880,- pr. mdr.","Lokesvej, Åbyhøj","78 m²","2 vær."
"1684834100-351","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.300,- pr. mdr.","Fiskergade, Århus C","69 m²","2 vær."
"1684834100-352","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.200,- pr. mdr.","Peter Sabroes Gade, Århus C","64 m²","2 vær."
"1684834100-353","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-354","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Kongevellen, Risskov","49 m²","2 vær."
"1684834100-355","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.800,- pr. mdr.","Sonnesgade, Århus C","86 m²","4 vær."
"1684834100-356","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Møllehatten, Risskov","65 m²","2 vær."
"1684834100-357","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.795,- pr. mdr.","Møllehatten, Risskov","97 m²","3 vær."
"1684834100-358","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.600,- pr. mdr.","Kongevellen, Risskov","52 m²","2 vær."
"1684834100-359","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.350,- pr. mdr.","Sonnesgade, Århus C","106 m²","4 vær."
"1684834100-360","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.400,- pr. mdr.","Kongevellen, Risskov","52 m²","2 vær."
"1684834100-361","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.500,- pr. mdr.","Kongevellen, Risskov","34 m²","1 vær."
"1684834100-362","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.400,- pr. mdr.","Kongevellen, Risskov","68 m²","3 vær."
"1684834100-363","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.960,- pr. mdr.","Helle Virkners Plads, Århus C","120 m²","4 vær."
"1684834100-364","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.620,- pr. mdr.","Tommy Seebachs Gade, Århus C","118 m²","4 vær."
"1684834100-365","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.400,- pr. mdr.","Lokesvej, Åbyhøj","62 m²","2 vær."
"1684834100-366","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.695,- pr. mdr.","Vintervej, Århus V","52 m²","2 vær."
"1684834100-367","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Møllehatten, Risskov","68 m²","2 vær."
"1684834100-368","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.995,- pr. mdr.","Kristine Nielsens Gade, Århus C","93 m²","2 vær."
"1684834100-369","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.295,- pr. mdr.","Møllehatten, Risskov","97 m²","3 vær."
"1684834100-370","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.200,- pr. mdr.","Kongevellen, Risskov","46 m²","2 vær."
"1684834100-371","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.600,- pr. mdr.","Vesterport, Århus C","53 m²","1 vær."
"1684834100-372","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.600,- pr. mdr.","Lokesvej, Åbyhøj","61 m²","2 vær."
"1684834100-373","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.500,- pr. mdr.","Kongevellen, Risskov","64 m²","3 vær."
"1684834100-374","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","Kværnloftet, Risskov","78 m²","2 vær."
"1684834100-375","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","65 m²","3 vær."
"1684834100-376","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.595,- pr. mdr.","Møllehatten, Risskov","50 m²","2 vær."
"1684834100-377","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj","34 m²","1 vær."
"1684834100-378","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Arresøvej, Risskov","54 m²","2 vær."
"1684834100-379","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.560,- pr. mdr.","Tommy Seebachs Gade, Århus C","97 m²","4 vær."
"1684834100-380","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-381","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.180,- pr. mdr.","John Mogensens Gade, Århus C","86 m²","3 vær."
"1684834100-382","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.700,- pr. mdr.","Kongevellen, Risskov","43 m²","2 vær."
"1684834100-383","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.300,- pr. mdr.","Peter Sabroes Gade, Århus C","64 m²","2 vær."
"1684834100-384","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.500,- pr. mdr.","Lokesvej, Åbyhøj","62 m²","2 vær."
"1684834100-385","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.600,- pr. mdr.","Kongevellen, Risskov","51 m²","2 vær."
"1684834100-386","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.235,- pr. mdr.","Dagmar Hansens Gade, Risskov","62 m²","3 vær."
"1684834100-387","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.600,- pr. mdr.","Klokkerbakken, Århus V","98 m²","2 vær."
"1684834100-388","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.400,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-389","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.500,- pr. mdr.","Kongevellen, Risskov","34 m²","1 vær."
"1684834100-390","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.630,- pr. mdr.","Tommy Seebachs Gade, Århus C","117 m²","4 vær."
"1684834100-391","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.600,- pr. mdr.","Kongevellen, Risskov","64 m²","3 vær."
"1684834100-392","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Arresøvej, Risskov","53 m²","2 vær."
"1684834100-393","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.050,- pr. mdr.","Fiskergade, Århus C","86 m²","3 vær."
"1684834100-394","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.700,- pr. mdr.","Bestlasgade, Åbyhøj","131 m²","4 vær."
"1684834100-395","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","Arresøvej, Risskov","68 m²","3 vær."
"1684834100-396","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.975,- pr. mdr.","Ryesgade, Århus C","133 m²","4 vær."
"1684834100-397","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.130,- pr. mdr.","John Mogensens Gade, Århus C","85 m²","3 vær."
"1684834100-398","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","68 m²","3 vær."
"1684834100-399","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.695,- pr. mdr.","Ellen Jensens Gade, Risskov","91 m²","3 vær."
"1684834100-400","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj","34 m²","1 vær."
"1684834100-401","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.371,- pr. mdr.","Broloftet, Risskov","93 m²","3 vær."
"1684834100-402","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.500,- pr. mdr.","Kongevellen, Risskov","68 m²","2 vær."
"1684834100-403","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.400,- pr. mdr.","Tommy Seebachs Gade, Århus C","97 m²","4 vær."
"1684834100-404","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.200,- pr. mdr.","Kongevellen, Risskov","48 m²","2 vær."
"1684834100-405","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.350,- pr. mdr.","Søren Frichs Vej, Århus C","87 m²","3 vær."
"1684834100-406","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.464,- pr. mdr.","Bifrostgade, Åbyhøj","71 m²","2 vær."
"1684834100-407","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.720,- pr. mdr.","Tommy Seebachs Gade, Århus C","117 m²","4 vær."
"1684834100-408","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Møllehatten, Risskov","65 m²","2 vær."
"1684834100-409","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.700,- pr. mdr.","Kongevellen, Risskov","44 m²","2 vær."
"1684834100-410","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.700,- pr. mdr.","Kongevellen, Risskov","64 m²","3 vær."
"1684834100-411","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.100,- pr. mdr.","Hammershusvej, Århus V","97 m²","3 vær."
"1684834100-412","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.450,- pr. mdr.","Søren Frichs Vej, Åbyhøj","105 m²","4 vær."
"1684834100-413","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.150,- pr. mdr.","Paradisgade, Århus C","41 m²","1 vær."
"1684834100-414","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.195,- pr. mdr.","Borresøvej, Risskov","94 m²","3 vær."
"1684834100-415","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.930,- pr. mdr.","John Mogensens Gade, Århus C","84 m²","3 vær."
"1684834100-416","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","68 m²","3 vær."
"1684834100-417","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.900,- pr. mdr.","Østergade, Århus C","106 m²","4 vær."
"1684834100-418","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.950,- pr. mdr.","Dagmar Hansens Gade, Risskov","77 m²","3 vær."
"1684834100-419","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Doris Kæraas Gade, Risskov","62 m²","3 vær."
"1684834100-420","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.500,- pr. mdr.","Vesterport, Århus C","82 m²","2 vær."
"1684834100-421","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.600,- pr. mdr.","Kongevellen, Risskov","34 m²","1 vær."
"1684834100-422","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.695,- pr. mdr.","Borresøvej, Åbyhøj","550 m²","2 vær."
"1684834100-423","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.590,- pr. mdr.","Tommy Seebachs Gade, Århus C","102 m²","4 vær."
"1684834100-424","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.995,- pr. mdr.","Emiliedalen, Højbjerg","104 m²","3 vær."
"1684834100-425","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.100,- pr. mdr.","Kongevellen, Risskov","64 m²","3 vær."
"1684834100-426","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Kongevellen, Risskov","48 m²","2 vær."
"1684834100-427","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.860,- pr. mdr.","Tommy Seebachs Gade, Århus C","84 m²","3 vær."
"1684834100-428","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj","34 m²","1 vær."
"1684834100-429","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.095,- pr. mdr.","Møllehatten, Risskov","69 m²","2 vær."
"1684834100-430","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.600,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-431","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.500,- pr. mdr.","Kongevellen, Risskov","68 m²","3 vær."
"1684834100-432","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.595,- pr. mdr.","Ellen Jensens Gade, Risskov","88 m²","3 vær."
"1684834100-433","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.400,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-434","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.180,- pr. mdr.","Sonnesgade, Århus C","114 m²","4 vær."
"1684834100-435","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.930,- pr. mdr.","John Mogensens Gade, Århus C","84 m²","3 vær."
"1684834100-436","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","Kongevellen, Risskov","64 m²","3 vær."
"1684834100-437","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.148,- pr. mdr.","Vesterbro Torv, Århus C","101 m²","3 vær."
"1684834100-438","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.900,- pr. mdr.","Borresøvej, Risskov","55 m²","2 vær."
"1684834100-439","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.800,- pr. mdr.","Thorvaldsensgade, Århus C","66 m²","3 vær."
"1684834100-440","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","69 m²","3 vær."
"1684834100-441","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.150,- pr. mdr.","Lilli Andersens Gade, Risskov","62 m²","3 vær."
"1684834100-442","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.995,- pr. mdr.","Sonnesgade, Århus C","85 m²","4 vær."
"1684834100-443","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.770,- pr. mdr.","Nordlandsvej, Risskov","53 m²","2 vær."
"1684834100-444","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.720,- pr. mdr.","Tommy Seebachs Gade, Århus C","97 m²","4 vær."
"1684834100-445","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.495,- pr. mdr.","Borresøvej, Risskov","58 m²","2 vær."
"1684834100-446","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.895,- pr. mdr.","Oddervej, Højbjerg","45 m²","1 vær."
"1684834100-447","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-448","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.210,- pr. mdr.","John Mogensens Gade, Århus C","110 m²","4 vær."
"1684834100-449","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.600,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-450","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.900,- pr. mdr.","Kongevellen, Risskov","46 m²","2 vær."
"1684834100-451","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.495,- pr. mdr.","Dirch Passers Gade, Århus C","61 m²","2 vær."
"1684834100-452","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.595,- pr. mdr.","Sonnesgade, Århus C","85 m²","4 vær."
"1684834100-453","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.980,- pr. mdr.","Tommy Seebachs Gade, Århus C","85 m²","3 vær."
"1684834100-454","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-455","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Doris Kæraas Gade, Risskov","54 m²","2 vær."
"1684834100-456","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Kongevellen, Risskov","49 m²","2 vær."
"1684834100-457","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","65 m²","3 vær."
"1684834100-458","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.000,- pr. mdr.","Dagmar Petersens Gade, Århus C","71 m²","2 vær."
"1684834100-459","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.395,- pr. mdr.","Borresøvej, Risskov","88 m²","3 vær."
"1684834100-460","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj","34 m²","1 vær."
"1684834100-461","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.500,- pr. mdr.","Ringen, Århus N","57 m²","1 vær."
"1684834100-462","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.700,- pr. mdr.","Dagmar Petersens Gade, Århus C","74 m²","2 vær."
"1684834100-463","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.500,- pr. mdr.","Strandparken, Århus C","74 m²","1 vær."
"1684834100-464","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.895,- pr. mdr.","Paludan Müllers Vej, Århus V","81 m²","2 vær."
"1684834100-465","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.900,- pr. mdr.","Vesterport, Århus C","72 m²","3 vær."
"1684834100-466","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.750,- pr. mdr.","Engtoften, Viby J","52 m²","2 vær."
"1684834100-467","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.620,- pr. mdr.","John Mogensens Gade, Århus C","118 m²","4 vær."
"1684834100-468","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.500,- pr. mdr.","Sonnesgade, Århus C","59 m²","2 vær."
"1684834100-469","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.200,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-470","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.600,- pr. mdr.","Ceresbyen, Århus C","72 m²","2 vær."
"1684834100-471","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.500,- pr. mdr.","Kværnloftet, Risskov","116 m²","3 vær."
"1684834100-472","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.110,- pr. mdr.","Tommy Seebachs Gade, Århus C","86 m²","3 vær."
"1684834100-473","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Kongevellen, Risskov","49 m²","2 vær."
"1684834100-474","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.900,- pr. mdr.","Kirkegårdsvej, Århus C","91 m²","2 vær."
"1684834100-475","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.600,- pr. mdr.","Kongevellen, Risskov","68 m²","3 vær."
"1684834100-476","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.900,- pr. mdr.","Kongevellen, Risskov","64 m²","2 vær."
"1684834100-477","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.395,- pr. mdr.","Søren Frichs Vej, Århus C","68 m²","2 vær."
"1684834100-478","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.775,- pr. mdr.","Nordlandsvej, Risskov","53 m²","2 vær."
"1684834100-479","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Søren Frichs Vej, Åbyhøj","34 m²","1 vær."
"1684834100-480","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.795,- pr. mdr.","Tove Ditlevsens Gade, Risskov","93 m²","4 vær."
"1684834100-481","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.700,- pr. mdr.","Kongevellen, Risskov","34 m²","1 vær."
"1684834100-482","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.250,- pr. mdr.","Grete Løchtes Gade, Århus C","66 m²","3 vær."
"1684834100-483","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.695,- pr. mdr.","Oddervej, Højbjerg","69 m²","2 vær."
"1684834100-484","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.600,- pr. mdr.","Ceresbyen, Århus C","65 m²","2 vær."
"1684834100-485","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.600,- pr. mdr.","Thorvaldsensgade, Århus C","66 m²","3 vær."
"1684834100-486","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.950,- pr. mdr.","Fiskergade, Århus C","86 m²","3 vær."
"1684834100-487","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.672,- pr. mdr.","Bifrostgade, Åbyhøj","71 m²","3 vær."
"1684834100-488","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.500,- pr. mdr.","Thit Jensens Gade, Århus C","111 m²","5 vær."
"1684834100-489","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.280,- pr. mdr.","John Mogensens Gade, Århus C","113 m²","4 vær."
"1684834100-490","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.214,- pr. mdr.","Østergade, Århus C","56 m²","3 vær."
"1684834100-491","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.270,- pr. mdr.","Tommy Seebachs Gade, Århus C","96 m²","4 vær."
"1684834100-492","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.550,- pr. mdr.","Gustav Holms Vej, Århus N","128 m²","4 vær."
"1684834100-493","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.200,- pr. mdr.","Broloftet, Risskov","99 m²","4 vær."
"1684834100-494","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.100,- pr. mdr.","Christian X's Vej, Viby J","27 m²","1 vær."
"1684834100-495","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.600,- pr. mdr.","Thorvaldsensgade, Århus C","66 m²","3 vær."
"1684834100-496","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","Vikærsvej, Risskov","80 m²","3 vær."
"1684834100-497","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.200,- pr. mdr.","Kongevellen, Risskov","49 m²","2 vær."
"1684834100-498","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.792,- pr. mdr.","Bestlasgade, Åbyhøj","101 m²","4 vær."
"1684834100-499","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.600,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-500","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.095,- pr. mdr.","Møllehatten, Risskov","67 m²","2 vær."
"1684834100-501","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.495,- pr. mdr.","Søren Frichs Vej, Århus C","57 m²","2 vær."
"1684834100-502","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.000,- pr. mdr.","Kongevellen, Risskov","64 m²","3 vær."
"1684834100-503","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.550,- pr. mdr.","Sonnesgade, Århus C","87 m²","4 vær."
"1684834100-504","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Arresøvej, Risskov","54 m²","2 vær."
"1684834100-505","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.250,- pr. mdr.","Sonnesgade, Århus C","114 m²","4 vær."
"1684834100-506","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-507","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.360,- pr. mdr.","Bifrostgade, Åbyhøj","71 m²","2 vær."
"1684834100-508","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.595,- pr. mdr.","Møllehatten, Risskov","62 m²","2 vær."
"1684834100-509","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.500,- pr. mdr.","Thomas Koppels Gade, Århus C","119 m²","4 vær."
