web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-84","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.615,- pr. mdr.","Orla Lehmanns Allé, Århus C","85 m²","3 vær."
"1684834100-85","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.900,- pr. mdr.","Vesterport, Århus C","72 m²","3 vær."
"1684834100-86","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Vester Allé, Århus C","66 m²","2 vær."
"1684834100-87","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.150,- pr. mdr.","Olof Palmes Allé, Århus N","30 m²","1 vær."
"1684834100-88","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.900,- pr. mdr.","Christian X's Vej, Viby J","29 m²","1 vær."
"1684834100-89","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.995,- pr. mdr.","Niels Juels Gade, Århus N","68 m²","2 vær."
"1684834100-90","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.996,- pr. mdr.","Eya Jensens Gade, Risskov","86 m²","4 vær."
"1684834100-91","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.792,- pr. mdr.","Bestlasgade, Åbyhøj","101 m²","4 vær."
"1684834100-92","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.650,- pr. mdr.","Ceresbyen, Århus C","85 m²","4 vær."
"1684834100-93","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.003,- pr. mdr.","Katrinebjergvej, Århus N","99 m²","4 vær."
"1684834100-94","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.729,- pr. mdr.","Olof Palmes Allé, Århus N","80 m²","3 vær."
"1684834100-95","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.900,- pr. mdr.","Olof Palmes Allé, Århus N","52 m²","2 vær."
"1684834100-96","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.400,- pr. mdr.","Finderupvej, Århus C","61 m²","2 vær."
"1684834100-97","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.500,- pr. mdr.","Sønder Allé, Århus C","112 m²","3 vær."
"1684834100-98","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.600,- pr. mdr.","Kværnloftet, Risskov","69 m²","2 vær."
"1684834100-99","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.265,- pr. mdr.","Engtoften, Viby J","111 m²","4 vær."
"1684834100-100","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","35 m²","1 vær."
"1684834100-101","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Vester Allé, Århus C","50 m²","2 vær."
"1684834100-102","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.777,- pr. mdr.","Doris Kæraas Gade, Risskov","61 m²","3 vær."
"1684834100-103","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.295,- pr. mdr.","Søren Frichs Vej, Åbyhøj","58 m²","2 vær."
"1684834100-104","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.050,- pr. mdr.","Møllevangen, Tranbjerg J","560 m²","2 vær."
"1684834100-105","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","Broloftet, Risskov","73 m²","2 vær."
"1684834100-106","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.644,- pr. mdr.","Eya Jensens Gade, Risskov","61 m²","2 vær."
"1684834100-107","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.912,- pr. mdr.","Vikærsvej, Risskov","57 m²","2 vær."
"1684834100-108","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.695,- pr. mdr.","Brassøvej, Risskov","98 m²","4 vær."
