web-scraper-order,price,address,type_rooms_kvm
1684829168-501,7.150,"Damagervej, Viby J",Lejlighed / 2 vær. / 55 m2
1684829168-502,10.995,"Broloftet, Risskov",Lejlighed / 3 vær. / 91 m2
1684829168-503,9.900,"Nordborggade, Aarhus C",Lejlighed / 3 vær. / 92 m2
1684829168-504,14.000,"Ringen, Aarhus N",Lejlighed / 6 vær. / 181 m2
1684829168-505,9.995,"Grønnegade, Aarhus C",Lejlighed / 2 vær. / 86 m2
1684829168-506,7.000,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 35 m2
1684829168-507,6.820,"Onsholtvej, Viby J",Lejlighed / 2 vær. / 64 m2
1684829168-508,16.214,"Orla Lehmanns Allé, Aarhus C",Lejlighed / 6 vær. / 162 m2
1684829168-509,10.950,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 98 m2
1684829168-510,14.595,"Dalgas Avenue, Aarhus C",Lejlighed / 4 vær. / 130 m2
1684829172-511,9.400,"Trøjborgvej, Aarhus N",Lejlighed / 3 vær. / 66 m2
1684829172-512,15.325,"Orla Lehmanns Allé, Aarhus C",Lejlighed / 4 vær. / 157 m2
1684829172-513,3.500,"Viborgvej , Aarhus V",Værelse / 1 vær. / 8 m2
1684829172-514,11.750,"Sonnesgade, Aarhus C",Lejlighed / 3 vær. / 90 m2
1684829172-515,7.695,"Borresøvej, Risskov",Lejlighed / 2 vær. / 55 m2
1684829172-516,8.595,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 69 m2
1684829172-517,13.500,"Sønder Allé, Aarhus C",Lejlighed / 3 vær. / 112 m2
1684829172-518,7.300,"Arresøvej, Risskov",Lejlighed / 2 vær. / 54 m2
1684829172-519,7.100,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 35 m2
1684829172-520,6.700,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829172-521,6.500,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829172-522,7.785,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 64 m2
1684829172-523,9.900,"Carl Bertelsens Gade, Aarhus C",Lejlighed / 3 vær. / 90 m2
1684829172-524,8.750,"Engelundsvej, Viby J",Lejlighed / 3 vær. / 57 m2
1684829172-525,9.550,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 69 m2
1684829176-526,7.195,"Tulipanlunden, Aarhus N",Lejlighed / 3 vær. / 48 m2
1684829176-527,8.975,"Engtoften, Viby J",Lejlighed / 3 vær. / 79 m2
1684829176-528,6.700,"Kongevellen, Risskov",Lejlighed / 2 vær. / 43 m2
1684829176-529,9.900,"Hammershusvej, Aarhus V",Lejlighed / 3 vær. / 104 m2
1684829176-530,5.700,"Christian X's Vej, Viby J",Lejlighed / 1 vær. / 29 m2
1684829176-531,7.650,"Møllevangs Alle, Aarhus N",Lejlighed / 2 vær. / 53 m2
1684829176-532,10.800,"Tage-Hansens Gade, Aarhus C",Lejlighed / 4 vær. / 82 m2
1684829176-533,10.950,"Søren Frichs Vej, Åbyhøj",Lejlighed / 3 vær. / 92 m2
1684829176-534,11.995,"Engtoften, Viby J",Lejlighed / 4 vær. / 112 m2
1684829176-535,9.295,"Kongsvang Allé, Aarhus C",Lejlighed / 2 vær. / 73 m2
1684829176-536,8.300,"Møllevangs Allé, Aarhus N",Lejlighed / 3 vær. / 59 m2
1684829176-537,10.600,"Broloftet, Risskov",Lejlighed / 4 vær. / 93 m2
1684829176-538,9.990,"Jens Baggesens Vej, Aarhus N",Lejlighed / 3 vær. / 81 m2
1684829176-539,8.200,"Bifrostgade, Åbyhøj",Lejlighed / 1 vær. / 60 m2
1684829176-540,7.580,"Skanderborgvej , Aarhus C",Lejlighed / 2 vær. / 72 m2
1684829180-541,7.100,"Brassøvej, Risskov",Lejlighed / 2 vær. / 54 m2
1684829180-542,15.500,"Thit Jensens Gade, Aarhus C",Lejlighed / 5 vær. / 111 m2
1684829180-543,9.445,"Vistihøjen, Aarhus N",Lejlighed / 4 vær. / 92 m2
1684829180-544,7.600,"Gøteborg Allé, Aarhus N",Lejlighed / 2 vær. / 42 m2
1684829180-545,15.750,"Thit Jensens Gade, Aarhus C",Lejlighed / 5 vær. / 140 m2
1684829180-546,7.195,"Arresøvej, Risskov",Lejlighed / 2 vær. / 51 m2
1684829180-547,18.000,"Helga Pedersens Gade, Aarhus C",Lejlighed / 2 vær. / 112 m2
1684829180-548,7.950,"Arresøvej, Risskov",Lejlighed / 3 vær. / 69 m2
1684829180-549,11.995,"Borresøvej, Risskov",Lejlighed / 4 vær. / 111 m2
1684829180-550,19.500,"Langelinieparken , Aarhus C",Lejlighed / 2 vær. / 118 m2
1684829180-551,14.700,"Dagmar Petersens Gade, Aarhus C",Lejlighed / 3 vær. / 110 m2
