web-scraper-order,price,address,type_rooms_kvm
1684829095-228,13.300,"Søren Frichs Vej, Åbyhøj",Lejlighed / 3 vær. / 101 m2
1684829095-229,9.050,"Dannebrogsgade, Aarhus C",Lejlighed / 2 vær. / 69 m2
1684829095-230,10.900,"Søren Frichs Vej, Åbyhøj",Lejlighed / 3 vær. / 82 m2
1684829095-231,9.800,"Søndre Ringgade, Aarhus C",Lejlighed / 3 vær. / 84 m2
1684829095-232,9.615,"Orla Lehmanns Allé, Aarhus C",Lejlighed / 3 vær. / 85 m2
1684829095-233,5.295,"Vestergårdsvej, Viby J",Lejlighed / 1 vær. / 33 m2
1684829095-234,11.400,"Assensgade, Aarhus C",Lejlighed / 3 vær. / 94 m2
1684829095-235,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 43 m2
1684829095-236,11.995,"Emiliedalen, Højbjerg",Hus / 3 vær. / 104 m2
1684829095-237,8.550,"Sdr. Ringgade, Aarhus C",Lejlighed / 2 vær. / 72 m2
1684829095-238,6.695,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 52 m2
1684829095-239,12.195,"Otte Ruds Gade, Aarhus N",Lejlighed / 4 vær. / 103 m2
1684829095-240,5.845,"Tulipanhaven, Aarhus N",Lejlighed / 2 vær. / 35 m2
1684829099-241,11.700,"Kristine Nielsens Gade, Aarhus C",Lejlighed / 3 vær. / 76 m2
1684829099-242,7.895,"Edouard Suensons Gade, Aarhus N",Lejlighed / 2 vær. / 45 m2
1684829099-243,7.450,"Vestre Ringgade, Aarhus C",Lejlighed / 2 vær. / 75 m2
1684829099-244,9.995,"Sdr. Ringgade, Aarhus C",Lejlighed / 3 vær. / 81 m2
1684829099-245,9.600,"Park Allé, Aarhus C",Lejlighed / 2 vær. / 80 m2
1684829099-246,8.300,"Katrinebjergvej, Aarhus N",Lejlighed / 2 vær. / 54 m2
1684829099-247,10.295,"Trøjborgvej, Aarhus N",Lejlighed / 3 vær. / 88 m2
1684829099-248,14.000,"Ringen, Aarhus N",Lejlighed / 6 vær. / 163 m2
1684829099-249,9.900,"morten børups gade, Aarhus C",Lejlighed / 3 vær. / 71 m2
1684829099-250,9.495,"Niels Juels Gade, Aarhus N",Lejlighed / 2 vær. / 65 m2
1684829099-251,7.300,"Arresøvej, Risskov",Lejlighed / 2 vær. / 54 m2
1684829099-252,8.871,"Klostergade, Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829099-253,7.250,"Engtoften, Viby J",Lejlighed / 2 vær. / 54 m2
1684829099-254,14.100,"Banegårdspladsen, Aarhus C",Lejlighed / 3 vær. / 109 m2
1684829099-255,5.600,"Gøteborg Allé, Aarhus N",Lejlighed / 1 vær. / 31 m2
1684829104-256,2.810,"Emiliehøj , Højbjerg",Lejlighed / 1 vær. / 18 m2
1684829104-257,14.400,"Dalgas Avenue, Aarhus C",Lejlighed / 5 vær. / 120 m2
1684829104-258,9.300,"Kirkegårdsvej, Aarhus C",Lejlighed / 2 vær. / 65 m2
1684829104-259,9.700,"Skådehøjen, Højbjerg",Hus / 3 vær. / 102 m2
1684829104-260,8.600,"Otto Brandenburgs Gade, Aarhus C",Lejlighed / 2 vær. / 62 m2
1684829104-261,8.900,"Hammershusvej, Aarhus V",Lejlighed / 3 vær. / 97 m2
1684829104-262,7.300,"Arresøvej, Risskov",Lejlighed / 2 vær. / 54 m2
1684829104-263,6.600,"Kirkegårdsvej, Aarhus C",Lejlighed / 1 vær. / 44 m2
1684829104-264,8.795,"Engelundsvej, Viby J",Hus / 3 vær. / 57 m2
1684829104-265,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 40 m2
1684829104-266,7.300,"Engkrogen, Viby J",Lejlighed / 3 vær. / 53 m2
1684829104-267,7.800,"Bestlasgade, Åbyhøj",Lejlighed / 1 vær. / 63 m2
1684829104-268,15.000,"Borggade, Aarhus C",Lejlighed / 4 vær. / 116 m2
1684829104-269,5.200,"Kongevellen, Risskov",Lejlighed / 1 vær. / 34 m2
1684829104-270,10.088,"Dirch Passers Gade, Aarhus C",Lejlighed / 3 vær. / 73 m2
1684829108-271,7.995,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 60 m2
1684829108-272,7.095,"Arresøvej, Risskov",Lejlighed / 2 vær. / 55 m2
1684829108-273,12.995,"Rudolph Wulffs Gade, Aarhus C",Lejlighed / 4 vær. / 101 m2
1684829108-274,7.887,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 64 m2
1684829108-275,11.232,"Rødbedevej, Aarhus N",Hus / 3 vær. / 102 m2
1684829108-276,14.995,"Emiliedalsvej, Højbjerg",Hus / 4 vær. / 122 m2
1684829108-277,9.903,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 84 m2
1684829108-278,6.820,"Onsholtvej, Viby J",Lejlighed / 2 vær. / 59 m2
1684829108-279,7.500,"Damagervej, Viby J",Lejlighed / 2 vær. / 49 m2
1684829108-280,10.800,"Emiliedalsvej, Højbjerg",Lejlighed / 3 vær. / 100 m2
1684829108-281,7.154,"LisbjergBakke, Aarhus N",Lejlighed / 2 vær. / 80 m2
1684829108-282,8.700,"Lokesvej, Åbyhøj",Lejlighed / 2 vær. / 61 m2
1684829108-283,9.500,"Gøteborg Allé, Aarhus N",Lejlighed / 3 vær. / 79 m2
1684829108-284,10.695,"Brassøvej, Risskov",Lejlighed / 4 vær. / 98 m2
1684829108-285,6.500,"Markvangen, Viby J",Lejlighed / 2 vær. / 45 m2
1684829112-286,6.900,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 35 m2
1684829112-287,5.194,"Engtoften, Viby J",Lejlighed / 1 vær. / 45 m2
1684829112-288,8.300,"Arresøvej, Risskov",Lejlighed / 3 vær. / 65 m2
1684829112-289,10.795,"Brassøvej, Risskov",Lejlighed / 4 vær. / 99 m2
1684829112-290,9.710,"Sifsgade, Åbyhøj",Lejlighed / 3 vær. / 68 m2
1684829112-291,12.792,"Bestlasgade, Åbyhøj",Lejlighed / 4 vær. / 101 m2
1684829112-292,7.643,"Eya Jensens Gade, Risskov",Lejlighed / 3 vær. / 61 m2
1684829112-293,7.250,"Engkrogen, Viby J",Lejlighed / 2 vær. / 48 m2
1684829112-294,9.395,"Møllehatten, Risskov",Lejlighed / 3 vær. / 71 m2
1684829112-295,7.955,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 76 m2
1684829112-296,8.750,"Engelundsvej, Viby J",Lejlighed / 3 vær. / 57 m2
1684829112-297,11.500,"Marselis Boulevard, Aarhus C",Lejlighed / 4 vær. / 111 m2
1684829112-298,15.600,"Guldsmedgade, Aarhus C",Lejlighed / 3 vær. / 129 m2
1684829112-299,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 38 m2
1684829112-300,9.795,"Tove Ditlevsens Gade, Risskov",Lejlighed / 4 vær. / 93 m2
1684829116-301,6.820,"Onsholtvej, Viby J",Lejlighed / 2 vær. / 62 m2
1684829116-302,8.450,"Jyllands Allé, Aarhus C",Lejlighed / 2 vær. / 76 m2
1684829116-303,7.250,"Vintervej, Aarhus V",Lejlighed / 3 vær. / 52 m2
1684829116-304,8.995,"Trøjborgvej, Aarhus N",Lejlighed / 3 vær. / 70 m2
1684829116-305,8.595,"Brendstrupgårdsvej, Aarhus N",Lejlighed / 2 vær. / 69 m2
1684829116-306,14.695,"Kræsten Iversens Vej, Højbjerg",Hus / 4 vær. / 132 m2
1684829116-307,6.820,"Onsholtvej, Viby J",Lejlighed / 2 vær. / 62 m2
1684829116-308,10.530,"Grøfthøjparken, Viby J",Lejlighed / 3 vær. / 108 m2
1684829116-309,8.225,"Brassøvej, Risskov",Lejlighed / 2 vær. / 51 m2
1684829116-310,9.800,"Kværnloftet, Risskov",Lejlighed / 3 vær. / 82 m2
1684829116-311,7.375,"Tulipanlunden, Aarhus N",Lejlighed / 2 vær. / 52 m2
1684829116-312,7.000,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829116-313,12.019,"Engtoften, Viby J",Lejlighed / 4 vær. / 107 m2
1684829116-314,9.395,"Østergade, Aarhus C",Lejlighed / 2 vær. / 56 m2
1684829116-315,7.995,"Møllehatten, Risskov",Lejlighed / 2 vær. / 64 m2
1684829120-316,10.250,"Grete Løchtes Gade, Aarhus C",Lejlighed / 3 vær. / 66 m2
1684829120-317,10.300,"Vester Allé, Aarhus C",Lejlighed / 3 vær. / 74 m2
1684829120-318,6.995,"Damagervej, Viby J",Lejlighed / 2 vær. / 55 m2
1684829120-319,9.692,"Sønder Allé, Aarhus C",Lejlighed / 3 vær. / 79 m2
1684829120-320,10.380,"Rosenkrantzgade, Aarhus C",Lejlighed / 3 vær. / 83 m2
1684829120-321,10.695,"Bøgeskovparken, Viby J",Hus / 4 vær. / 100 m2
1684829120-322,5.700,"Engtoften, Viby J",Lejlighed / 1 vær. / 40 m2
1684829120-323,9.900,"Finsensgade, Aarhus N",Lejlighed / 3 vær. / 81 m2
1684829120-324,7.495,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 56 m2
1684829120-325,10.750,"Skanderborgvej, Viby J",Lejlighed / 4 vær. / 107 m2
1684829120-326,7.600,"Vesterport, Aarhus C",Lejlighed / 1 vær. / 53 m2
1684829120-327,9.095,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 69 m2
1684829120-328,7.500,"Damagervej, Viby J",Lejlighed / 2 vær. / 49 m2
1684829120-329,6.900,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 35 m2
1684829120-330,7.195,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 50 m2
1684829124-331,8.145,"Tulipanlunden, Aarhus N",Lejlighed / 3 vær. / 63 m2
1684829124-332,10.899,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 89 m2
1684829124-333,13.500,"Sonnesgade, Aarhus C",Lejlighed / 4 vær. / 86 m2
1684829124-334,8.155,"Drosbjerg, Viby J",Lejlighed / 3 vær. / 68 m2
1684829124-335,7.595,"Kalmargade, Aarhus N",Lejlighed / 2 vær. / 61 m2
1684829124-336,4.995,"Olof Palmes Allé , Aarhus N",Lejlighed / 1 vær. / 32 m2
1684829124-337,9.500,"Gøteborg Allé, Aarhus N",Lejlighed / 3 vær. / 76 m2
1684829124-338,7.400,"Gøteborg Allé, Aarhus N",Lejlighed / 2 vær. / 51 m2
1684829124-339,6.200,"Søren Frichs Vej, Åbyhøj",Lejlighed / 1 vær. / 37 m2
1684829124-340,13.395,"Ole Rømers Gade, Aarhus C",Lejlighed / 4 vær. / 119 m2
1684829124-341,8.800,"Randersvej, Aarhus N",Lejlighed / 2 vær. / 70 m2
1684829124-342,14.900,"Østergade, Aarhus C",Lejlighed / 4 vær. / 106 m2
1684829124-343,12.900,"Ryhavevej, Aarhus V",Lejlighed / 4 vær. / 118 m2
1684829124-344,8.185,"Brassøvej, Risskov",Lejlighed / 3 vær. / 67 m2
1684829124-345,9.300,"Fiskergade, Aarhus C",Lejlighed / 2 vær. / 70 m2
1684829128-346,5.995,"Vintervej, Aarhus V",Lejlighed / 1 vær. / 41 m2
1684829128-347,8.295,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 58 m2
1684829128-348,10.490,"Broloftet, Risskov",Lejlighed / 3 vær. / 92 m2
1684829128-349,9.500,"Vesterport, Aarhus C",Lejlighed / 2 vær. / 82 m2
1684829128-350,5.100,"Christian X's Vej, Viby J",Lejlighed / 1 vær. / 30 m2
1684829128-351,6.500,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829128-352,7.100,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 35 m2
1684829128-353,11.800,"Thit Jensens Gade, Aarhus C",Lejlighed / 3 vær. / 100 m2
1684829128-354,11.250,"Langelandsgade, Aarhus N",Lejlighed / 4 vær. / 87 m2
1684829128-355,11.950,"Fiskergade, Aarhus C",Lejlighed / 3 vær. / 86 m2
1684829128-356,7.250,"Tulipanhaven, Aarhus N",Lejlighed / 2 vær. / 54 m2
1684829128-357,11.450,"Søren Frichs Vej, Åbyhøj",Lejlighed / 4 vær. / 105 m2
1684829128-358,8.990,"Vestergade, Aarhus C",Lejlighed / 2 vær. / 56 m2
1684829128-359,5.194,"Engtoften, Viby J",Lejlighed / 1 vær. / 44 m2
1684829128-360,16.900,"Peter Sabroes Gade, Aarhus C",Lejlighed / 5 vær. / 110 m2
1684829132-361,8.950,"Engtoften, Viby J",Lejlighed / 3 vær. / 76 m2
1684829132-362,8.500,"Helge Rodes Vej, Aarhus V",Lejlighed / 3 vær. / 73 m2
1684829132-363,7.900,"Vester Allé, Aarhus C",Lejlighed / 2 vær. / 66 m2
1684829132-364,10.995,"Sønderport, Aarhus C",Lejlighed / 3 vær. / 85 m2
1684829132-365,8.774,"Hjarnøgade, Aarhus C",Lejlighed / 2 vær. / 93 m2
1684829132-366,8.995,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 68 m2
1684829132-367,8.495,"Søren Frichs Vej, Aarhus C",Lejlighed / 2 vær. / 57 m2
1684829132-368,5.995,"Vintervej, Aarhus V",Lejlighed / 1 vær. / 41 m2
1684829132-369,9.195,"Borresøvej, Risskov",Lejlighed / 3 vær. / 94 m2
1684829132-370,7.785,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 62 m2
1684829132-371,8.125,"Vintervej, Aarhus V",Lejlighed / 3 vær. / 64 m2
1684829132-372,10.539,"Jess Ingerslevs Gade, Aarhus N",Lejlighed / 3 vær. / 114 m2
1684829132-373,9.995,"Holme Møllevej, Viby J",Lejlighed / 3 vær. / 87 m2
1684829132-374,5.845,"Tulipanhaven, Aarhus N",Lejlighed / 2 vær. / 35 m2
1684829132-375,6.995,"Vester Allé, Aarhus C",Lejlighed / 2 vær. / 49 m2
1684829136-376,5.100,"Christian X's Vej, Viby J",Lejlighed / 1 vær. / 30 m2
1684829136-377,13.150,"Fiskergade, Aarhus C",Lejlighed / 4 vær. / 102 m2
1684829136-378,12.419,"Kildegården , Aarhus C",Lejlighed / 5 vær. / 145 m2
1684829136-379,7.400,"Jens Baggesens Vej, Aarhus N",Lejlighed / 2 vær. / 48 m2
1684829136-380,8.600,"Arresøvej, Risskov",Lejlighed / 3 vær. / 78 m2
1684829136-381,8.795,"Engelundsvej, Viby J",Hus / 3 vær. / 57 m2
1684829136-382,9.495,"Niels Juels Gade, Aarhus N",Lejlighed / 2 vær. / 70 m2
1684829136-383,4.800,"Jelshøjvej, Højbjerg",Lejlighed / 1 vær. / 40 m2
1684829136-384,6.500,"Ringen, Aarhus N",Lejlighed / 1 vær. / 57 m2
1684829136-385,8.800,"Broloftet, Risskov",Lejlighed / 2 vær. / 73 m2
1684829136-386,7.000,"Engtoften, Viby J",Lejlighed / 2 vær. / 47 m2
1684829136-387,8.500,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 54 m2
1684829136-388,7.500,"Christiansgade, Aarhus C",Lejlighed / 1 vær. / 59 m2
1684829136-389,6.975,"Arresøvej, Risskov",Lejlighed / 2 vær. / 52 m2
1684829136-390,8.795,"Paludan Müllers Vej, Aarhus V",Lejlighed / 3 vær. / 81 m2
1684829140-391,7.920,"Jens Baggesens Vej, Aarhus N",Lejlighed / 2 vær. / 57 m2
1684829140-392,9.995,"Eya Jensens Gade, Risskov",Lejlighed / 4 vær. / 85 m2
1684829140-393,5.200,"Kongevellen, Risskov",Lejlighed / 1 vær. / 34 m2
1684829140-394,7.195,"Tulipanlunden, Aarhus N",Lejlighed / 3 vær. / 48 m2
1684829140-395,14.495,"Jægergårdsgade, Aarhus C",Lejlighed / 4 vær. / 106 m2
1684829140-396,9.900,"Kongevellen, Risskov",Lejlighed / 3 vær. / 68 m2
1684829140-397,14.950,"Olof Palmes Allé, Aarhus N",Lejlighed / 5 vær. / 123 m2
1684829140-398,12.750,"Forteledet, Risskov",Lejlighed / 4 vær. / 103 m2
1684829140-399,8.795,"Engelundsvej, Viby J",Lejlighed / 3 vær. / 57 m2
1684829140-400,5.950,"Søren Frichs Vej, Åbyhøj",Lejlighed / 1 vær. / 34 m2
1684829140-401,12.600,"Kværnloftet, Risskov",Lejlighed / 4 vær. / 114 m2
1684829140-402,8.434,"Arresøvej, Risskov",Lejlighed / 3 vær. / 92 m2
1684829140-403,5.600,"Brassøvej, Risskov",Lejlighed / 1 vær. / 37 m2
1684829140-404,7.195,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 48 m2
1684829140-405,9.900,"Lundingsgade, Aarhus C",Lejlighed / 2 vær. / 71 m2
1684829144-406,8.850,"Trøjborgvej, Aarhus N",Lejlighed / 2 vær. / 65 m2
1684829144-407,7.777,"Eya Jensens Gade, Risskov",Lejlighed / 3 vær. / 61 m2
1684829144-408,10.641,"Jyllands Allé, Aarhus C",Lejlighed / 3 vær. / 94 m2
1684829144-409,8.495,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 60 m2
1684829144-410,9.000,"Kværnloftet, Risskov",Lejlighed / 2 vær. / 82 m2
1684829144-411,9.550,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 69 m2
1684829144-412,14.500,"Falstersgade, Aarhus C",Lejlighed / 2 vær. / 91 m2
1684829144-413,6.800,"Engkrogen, Viby J",Lejlighed / 2 vær. / 48 m2
1684829144-414,7.995,"Skejbytoften, Aarhus N",Lejlighed / 2 vær. / 60 m2
1684829144-415,6.200,"Vestergade, Aarhus C",Lejlighed / 1 vær. / 44 m2
1684829144-416,8.650,"Emiliedalen, Højbjerg",Lejlighed / 2 vær. / 73 m2
1684829144-417,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 42 m2
1684829144-418,7.600,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 73 m2
1684829144-419,7.170,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 50 m2
1684829144-420,12.495,"Broloftet, Risskov",Lejlighed / 4 vær. / 122 m2
1684829148-421,7.600,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 76 m2
1684829148-422,10.800,"Broloftet, Risskov",Lejlighed / 3 vær. / 93 m2
1684829148-423,7.375,"Tulipanhaven, Aarhus N",Lejlighed / 2 vær. / 54 m2
1684829148-424,4.900,"Christian X's Vej, Viby J",Lejlighed / 1 vær. / 30 m2
1684829148-425,13.119,"Sandbakken, Højbjerg",Lejlighed / 5 vær. / 128 m2
1684829148-426,11.500,"Gøteborg Allé, Aarhus N",Lejlighed / 4 vær. / 90 m2
1684829148-427,7.895,"Skejbytoften, Aarhus N",Lejlighed / 2 vær. / 60 m2
1684829148-428,7.912,"Vikærsvej, Risskov",Lejlighed / 2 vær. / 57 m2
1684829148-429,9.360,"Bifrostgade, Åbyhøj",Lejlighed / 2 vær. / 71 m2
1684829148-430,7.300,"Brassøvej, Risskov",Lejlighed / 2 vær. / 54 m2
1684829148-431,8.300,"Skanderborgvej, Aarhus C",Lejlighed / 2 vær. / 58 m2
1684829148-432,10.575,"Volden, Aarhus C",Lejlighed / 3 vær. / 108 m2
1684829148-433,11.304,"Ellen Jensens Gade, Risskov",Lejlighed / 3 vær. / 88 m2
1684829148-434,8.995,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 72 m2
1684829148-435,4.900,"Christian X's Vej, Viby J",Lejlighed / 1 vær. / 30 m2
1684829152-436,8.850,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 60 m2
1684829152-437,14.295,"Søren Frichs Vej, Åbyhøj",Lejlighed / 4 vær. / 110 m2
1684829152-438,10.500,"Skanderborgvej, Aarhus C",Lejlighed / 3 vær. / 84 m2
1684829152-439,5.800,"Arresøvej, Risskov",Lejlighed / 1 vær. / 41 m2
1684829152-440,8.500,"Finderupvej, Aarhus C",Lejlighed / 2 vær. / 61 m2
1684829152-441,7.955,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 76 m2
1684829152-442,9.775,"Holme Møllevej, Viby J",Lejlighed / 3 vær. / 85 m2
1684829152-443,6.500,"Ringen, Aarhus N",Lejlighed / 1 vær. / 54 m2
1684829152-444,10.695,"Dirch Passers Gade, Aarhus C",Lejlighed / 2 vær. / 79 m2
1684829152-445,8.895,"Paludan Müllers Vej, Aarhus V",Lejlighed / 2 vær. / 81 m2
1684829152-446,8.900,"Hammershusvej, Aarhus V",Lejlighed / 3 vær. / 97 m2
1684829152-447,8.595,"Vistihøjen, Aarhus N",Lejlighed / 3 vær. / 86 m2
1684829152-448,7.995,"Skejbytoften, Aarhus N",Lejlighed / 2 vær. / 58 m2
1684829152-449,4.995,"Olof Palmes Allé , Aarhus N",Lejlighed / 1 vær. / 30 m2
1684829152-450,8.795,"Engelundsvej, Viby J",Hus / 3 vær. / 57 m2
1684829156-451,13.300,"Vindrosen, Risskov",Lejlighed / 3 vær. / 121 m2
1684829156-452,17.900,"Søndergade, Aarhus C",Lejlighed / 4 vær. / 151 m2
1684829156-453,7.795,"Engsøvej, Risskov",Lejlighed / 2 vær. / 74 m2
1684829156-454,9.464,"Bifrostgade, Åbyhøj",Lejlighed / 2 vær. / 71 m2
1684829156-455,13.231,"Sifsgade, Åbyhøj",Lejlighed / 4 vær. / 112 m2
1684829156-456,7.785,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 62 m2
1684829156-457,12.792,"Bestlasgade, Åbyhøj",Lejlighed / 4 vær. / 101 m2
1684829156-458,9.850,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 69 m2
1684829156-459,8.145,"Tulipanlunden, Aarhus N",Lejlighed / 3 vær. / 63 m2
1684829156-460,7.777,"Doris Kæraas Gade, Risskov",Lejlighed / 3 vær. / 61 m2
1684829156-461,9.700,"Broloftet, Risskov",Lejlighed / 3 vær. / 82 m2
1684829156-462,9.250,"Bifrostgade, Åbyhøj",Lejlighed / 1 vær. / 73 m2
1684829156-463,7.395,"Engtoften, Viby J",Lejlighed / 2 vær. / 54 m2
1684829156-464,8.300,"Langenæs Allé, Aarhus C",Lejlighed / 2 vær. / 59 m2
1684829156-465,10.280,"Broloftet, Risskov",Lejlighed / 3 vær. / 91 m2
1684829160-466,11.900,"Søndre Ringgade, Aarhus C",Lejlighed / 3 vær. / 104 m2
1684829160-467,7.195,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 50 m2
1684829160-468,8.995,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 68 m2
1684829160-469,13.160,"Ellen Jensens Gade, Risskov",Lejlighed / 3 vær. / 101 m2
1684829160-470,8.400,"Børglumvej, Risskov",Lejlighed / 3 vær. / 60 m2
1684829160-471,15.418,"Skt. Pauls Kirkeplads, Aarhus C",Lejlighed / 5 vær. / 146 m2
1684829160-472,9.904,"Emiliehøj , Højbjerg",Lejlighed / 4 vær. / 111 m2
1684829160-473,7.495,"Borresøvej, Risskov",Lejlighed / 2 vær. / 58 m2
1684829160-474,19.950,"Thit Jensens Gade, Aarhus C",Lejlighed / 4 vær. / 133 m2
1684829160-475,9.450,"Møllevangs Alle, Aarhus N",Lejlighed / 3 vær. / 73 m2
1684829160-476,9.000,"Stockholmsgade, Aarhus N",Lejlighed / 2 vær. / 68 m2
1684829160-477,10.701,"Søndervangs Allé, Viby J",Lejlighed / 4 vær. / 91 m2
1684829160-478,6.820,"Onsholtvej, Viby J",Lejlighed / 2 vær. / 59 m2
1684829160-479,15.995,"Emiliedalen, Højbjerg",Hus / 5 vær. / 135 m2
1684829160-480,10.995,"Holme Møllevej, Viby J",Lejlighed / 4 vær. / 96 m2
1684829164-481,8.495,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 60 m2
1684829164-482,6.200,"Søren Frichs Vej, Åbyhøj",Lejlighed / 1 vær. / 37 m2
1684829164-483,6.650,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 38 m2
1684829164-484,7.100,"Arresøvej, Risskov",Lejlighed / 2 vær. / 52 m2
1684829164-485,10.370,"Broloftet, Risskov",Lejlighed / 3 vær. / 93 m2
1684829164-486,7.995,"Møllehatten, Risskov",Lejlighed / 2 vær. / 65 m2
1684829164-487,10.199,"brassøvej, Risskov",Lejlighed / 4 vær. / 90 m2
1684829164-488,12.750,"Gustav Holms Vej, Aarhus N",Lejlighed / 4 vær. / 114 m2
1684829164-489,10.800,"Tage-Hansens Gade, Aarhus C",Lejlighed / 4 vær. / 82 m2
1684829164-490,9.968,"Eya Jensens Gade, Risskov",Lejlighed / 4 vær. / 85 m2
1684829164-491,14.625,"Lone Kellermanns Gade, Aarhus C",Lejlighed / 4 vær. / 123 m2
1684829164-492,10.350,"Hans Schourups Gade, Aarhus C",Lejlighed / 3 vær. / 94 m2
1684829164-493,8.900,"Daugbjergvej, Aarhus C",Lejlighed / 2 vær. / 89 m2
1684829164-494,7.000,"Trøjborgvej, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829164-495,8.950,"Højgårdsvej, Viby J",Lejlighed / 3 vær. / 96 m2
1684829168-496,6.900,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 50 m2
1684829168-497,5.950,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 35 m2
1684829168-498,8.995,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 68 m2
1684829168-499,4.950,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 36 m2
1684829168-500,8.300,"Arresøvej, Risskov",Lejlighed / 3 vær. / 64 m2
