web-scraper-order,pagination,price,address,rooms_type_kvm
1681720076-1023,,11.395 kr.,"Viby J, Viby Torv",4 vær. · Lejlighed · 101 m²
1681720076-1024,,11.250 kr.,"Aarhus N, Langelandsgade",4 vær. · Lejlighed · 87 m²
1681720076-1025,,13.295 kr.,"Aarhus C, Sdr. Ringgade",3 vær. · Lejlighed · 98 m²
1681720076-1026,,9.750 kr.,"Aarhus C, Sdr. Ringgade",2 vær. · Lejlighed · 72 m²
1681720076-1027,,11.595 kr.,"Viby J, Holme Møllevej",4 vær. · Lejlighed · 101 m²
1681720076-1028,,5.620 kr.,"Brabrand, Gudrunsvej",2 vær. · Lejlighed · 48 m²
1681720076-1029,,8.250 kr.,"Aarhus C, Dalgas Avenue",1 vær. · Lejlighed · 45 m²
1681720076-1030,,7.650 kr.,"Aarhus N, Trøjborgvej",2 vær. · Lejlighed · 46 m²
1681720076-1031,,6.338 kr.,"Aarhus C, Åboulevarden",1 vær. · Lejlighed · 39 m²
1681720076-1032,,7.600 kr.,"Viby J, Onsholtvej",3 vær. · Lejlighed · 76 m²
1681720076-1033,,7.745 kr.,"Aarhus N, Vistihøjen",2 vær. · Lejlighed · 69 m²
1681720076-1034,,7.750 kr.,"Aarhus N, Olof Palmes Allé",2 vær. · Lejlighed · 62 m²
1681720076-1035,,8.595 kr.,"Aarhus N, Vistihøjen",3 vær. · Lejlighed · 76 m²
1681720076-1036,,12.532 kr.,"Mårslet, Nymarks Alle",4 vær. · Rækkehus · 111 m²
1681720076-1037,,8.000 kr.,"Aarhus C, Åboulevarden",1 vær. · Lejlighed · 54 m²
1681720076-1038,,10.900 kr.,"Aarhus C, Montanagade",3 vær. · Lejlighed · 73 m²
1681720076-1039,,8.000 kr.,"Aarhus C, Eckersbergsgade",2 vær. · Lejlighed · 63 m²
1681720076-1040,,7.125 kr.,"Risskov, Kamma Klitgårds Gade",2 vær. · Lejlighed · 49 m²
1681720076-1041,,7.200 kr.,"Aarhus C, De Mezas Vej",2 vær. · Lejlighed · 56 m²
1681720076-1042,,6.850 kr.,"Risskov, Kamma Klitgårds Gade",2 vær. · Lejlighed · 48 m²
1681720076-1043,,10.500 kr.,"Aarhus C, Assensgade",3 vær. · Lejlighed · 89 m²
1681720076-1044,,9.025 kr.,"Aarhus C, Åhusene",2 vær. · Lejlighed · 58 m²
1681720076-1045,,10.895 kr.,"Risskov, Broloftet",4 vær. · Lejlighed · 98 m²
1681720076-1046,,10.895 kr.,"Risskov, Broloftet",4 vær. · Lejlighed · 98 m²
1681720076-1047,,11.200 kr.,"Hasselager, Sønderholmvænget",4 vær. · Rækkehus · 107 m²
1681720076-1048,,5.895 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 44 m²
1681720076-1049,,5.586 kr.,"Aarhus N, Katrinebjergvej",1 vær. · Lejlighed · 42 m²
1681720076-1050,,9.395 kr.,"Risskov, Borresøvej",3 vær. · Lejlighed · 88 m²
