web-scraper-order,pagination,price,address,rooms_type_kvm
1681721414-2291,,5.495 kr.,"Brabrand, Gudrunsvej",1 vær. · Lejlighed · 41 m²
1681721414-2292,,5.995 kr.,"Brabrand, Gudrunsvej",2 vær. · Lejlighed · 45 m²
1681721414-2293,,9.795 kr.,"Skødstrup, Vosnæsparken",5 vær. · Rækkehus · 116 m²
1681721414-2294,,14.295 kr.,"Viby J, Drosbjerg",4 vær. · Lejlighed · 120 m²
1681721414-2295,,3.880 kr.,"Brabrand, Karen Blixens Boulevard",1 vær. · Lejlighed · 44 m²
1681721414-2296,,6.795 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 54 m²
1681721414-2297,,8.900 kr.,"Aarhus N, Stockholmsgade",2 vær. · Lejlighed · 71 m²
1681721414-2298,,10.600 kr.,"Aarhus N, Randersvej",3 vær. · Lejlighed · 87 m²
1681721414-2299,,8.695 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 72 m²
1681721414-2300,,8.150 kr.,"Højbjerg, Rundhøj Allé",3 vær. · Lejlighed · 67 m²
1681721414-2301,,8.800 kr.,"Aarhus N, Skejbyparken",4 vær. · Lejlighed · 77 m²
1681721414-2302,,8.215 kr.,"Malling, Stenhøjgårdsvej",3 vær. · Lejlighed · 94 m²
1681721414-2303,,11.795 kr.,"Brabrand, Høiriisgårdsvej",5 vær. · Rækkehus · 119 m²
1681721414-2304,,11.800 kr.,"Aarhus C, Fåborggade",3 vær. · Lejlighed · 93 m²
1681721414-2305,,7.300 kr.,"Risskov, Doris Kæraas Gade",2 vær. · Lejlighed · 54 m²
1681721414-2306,,8.250 kr.,"Risskov, Dagmar Hansens Gade",3 vær. · Lejlighed · 63 m²
1681721414-2307,,5.432 kr.,"Viby J, Damagervej",2 vær. · Lejlighed · 46 m²
1681721414-2308,,12.595 kr.,"Aarhus C, Sonnesgade",4 vær. · Lejlighed · 85 m²
1681721414-2309,,3.650 kr.,"Viby J, Damagervej",1 vær. · Lejlighed · 40 m²
1681721414-2310,,12.800 kr.,"Hørning, Østergårds Alle",5 vær. · Rækkehus · 137 m²
1681721414-2311,,10.500 kr.,"Hørning, Østergårds Alle",4 vær. · Rækkehus · 114 m²
1681721414-2312,,12.600 kr.,"Aarhus C, Dagmar Petersens Gade",3 vær. · Lejlighed · 80 m²
1681721414-2313,,11.960 kr.,"Aarhus C, Mejlgade",3 vær. · Lejlighed · 105 m²
1681721414-2314,,5.950 kr.,"Åbyhøj, Søren Frichs Vej",1 vær. · Lejlighed · 34 m²
1681721414-2315,,5.700 kr.,"Åbyhøj, Søren Frichs Vej",1 vær. · Lejlighed · 34 m²
1681721414-2316,,6.820 kr.,"Viby J, Onsholtvej",2 vær. · Lejlighed · 62 m²
1681721414-2317,,6.820 kr.,"Viby J, Onsholtvej",2 vær. · Lejlighed · 59 m²
1681721414-2318,,7.955 kr.,"Viby J, Onsholtvej",3 vær. · Lejlighed · 73 m²
1681721414-2319,,8.800 kr.,"Åbyhøj, Søren Frichs Vej",2 vær. · Lejlighed · 51 m²
1681721414-2320,,8.155 kr.,"Viby J, Drosbjerg",3 vær. · Lejlighed · 68 m²
1681721414-2321,,6.900 kr.,"Aarhus N, Trøjborgvej",1 vær. · Lejlighed · 35 m²
1681721414-2322,,7.600 kr.,"Viby J, Onsholtvej",3 vær. · Lejlighed · 73 m²
1681721414-2323,,7.955 kr.,"Viby J, Onsholtvej",3 vær. · Lejlighed · 73 m²
1681721414-2324,,12.792 kr.,"Åbyhøj, Bestlasgade",4 vær. · Lejlighed · 101 m²
1681721414-2325,,13.850 kr.,"Aarhus C, Ålborggade",4 vær. · Lejlighed · 109 m²
1681721414-2326,,7.850 kr.,"Risskov, Kamma Klitgårds Gade",2 vær. · Lejlighed · 67 m²
1681721414-2327,,10.800 kr.,"Aarhus C, Nordborggade",3 vær. · Lejlighed · 92 m²
1681721414-2328,,6.900 kr.,"Risskov, Vestre Strandallé",1 vær. · Lejlighed · 53 m²
1681721414-2329,,6.350 kr.,"Risskov, Vestre Strandallé",1 vær. · Lejlighed · 38 m²
1681721414-2330,,5.950 kr.,"Risskov, Vestre Strandallé",1 vær. · Lejlighed · 38 m²
1681721414-2331,,11.500 kr.,"Aarhus C, Joh. Baunes Plads",3 vær. · Lejlighed · 91 m²
1681721414-2332,,13.900 kr.,"Aarhus C, Mariane Thomsens Gade",5 vær. · Lejlighed · 145 m²
1681721414-2333,,8.931 kr.,"Aarhus C, Vestre Ringgade",3 vær. · Lejlighed · 76 m²
1681721414-2334,,8.600 kr.,"Aarhus C, Vestre Ringgade",3 vær. · Lejlighed · 73 m²
1681721414-2335,,9.150 kr.,"Solbjerg, Hasselvangen",4 vær. · Rækkehus · 105 m²
1681721414-2336,,8.300 kr.,"Risskov, Arresøvej",3 vær. · Lejlighed · 65 m²
1681721414-2337,,7.400 kr.,"Viby J, Damagervej",2 vær. · Lejlighed · 67 m²
1681721414-2338,,11.100 kr.,"Aarhus C, Æbeløgade",2 vær. · Lejlighed · 67 m²
1681721414-2339,,9.100 kr.,"Brabrand, Louisevej",4 vær. · Rækkehus · 96 m²
1681721414-2340,,7.100 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 50 m²
1681721414-2341,,7.500 kr.,"Aarhus C, Haderslevgade",2 vær. · Lejlighed · 60 m²
1681721414-2342,,7.995 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 68 m²
1681721414-2343,,8.095 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 68 m²
1681721414-2344,,5.500 kr.,"Skødstrup, Grenåvej",2 vær. · Lejlighed · 59 m²
1681721414-2345,,7.790 kr.,"Aarhus V, Viborgvej",3 vær. · Lejlighed · 89 m²
1681721414-2346,,8.475 kr.,"Aarhus C, Søndre Ringgade",2 vær. · Lejlighed · 70 m²
1681721414-2347,,8.800 kr.,"Brabrand, Silkeborgvej",2 vær. · Lejlighed · 78 m²
1681721414-2348,,12.300 kr.,"Aarhus C, Fiskergade",3 vær. · Lejlighed · 86 m²
1681721414-2349,,16.000 kr.,"Risskov, Torsøvej",4 vær. · Lejlighed · 99 m²
1681721414-2350,,7.500 kr.,"Brabrand, Hovedgaden",2 vær. · Lejlighed · 73 m²
1681721414-2351,,12.275 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 97 m²
1681721414-2352,,12.800 kr.,"Aarhus C, Haderslevgade",4 vær. · Lejlighed · 101 m²
1681721414-2353,,6.500 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 30 m²
1681721414-2354,,5.650 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 29 m²
1681721414-2355,,5.550 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 29 m²
1681721414-2356,,5.550 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 35 m²
1681721414-2357,,5.450 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 29 m²
1681721414-2358,,5.550 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 29 m²
1681721414-2359,,5.250 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 30 m²
1681721414-2360,,4.495 kr.,"Aarhus N, Ladefogedvej",1 vær. · Lejlighed · 29 m²
1681721414-2361,,7.995 kr.,"Aarhus C, Gebauersgade",2 vær. · Lejlighed · 57 m²
1681721414-2362,,9.295 kr.,"Lystrup, Kastanjehaven",4 vær. · Rækkehus · 92 m²
1681721414-2363,,18.800 kr.,"Åbyhøj, Silkeborgvej",5 vær. · Lejlighed · 187 m²
1681721414-2364,,7.500 kr.,"Viby J, Damagervej",2 vær. · Lejlighed · 49 m²
1681721414-2365,,6.700 kr.,"Risskov, Sletterhagevej",2 vær. · Lejlighed · 57 m²
1681721414-2366,,11.300 kr.,"Tilst, Apisvej",4 vær. · Rækkehus · 108 m²
1681721414-2367,,8.300 kr.,"Risskov, Arresøvej",3 vær. · Lejlighed · 65 m²
1681721414-2368,,8.600 kr.,"Aarhus C, Otto Brandenburgs Gade",2 vær. · Lejlighed · 62 m²
1681721414-2369,,8.800 kr.,"Åbyhøj, Søren Frichs Vej",2 vær. · Lejlighed · 52 m²
1681721414-2370,,7.300 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 53 m²
1681721414-2371,,12.900 kr.,"Aarhus C, Vester Allé",3 vær. · Lejlighed · 86 m²
1681721414-2372,,12.900 kr.,"Aarhus C, Vester Allé",4 vær. · Lejlighed · 86 m²
1681721414-2373,,6.130 kr.,"Tilst, Honningvænget",2 vær. · Lejlighed · 42 m²
1681721414-2374,,7.898 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 61 m²
1681721414-2375,,8.315 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 68 m²
1681721414-2376,,7.950 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 59 m²
1681721414-2377,,9.495 kr.,"Tilst, Blomsterlunden",3 vær. · Lejlighed · 73 m²
1681721414-2378,,8.145 kr.,"Aarhus N, Tulipanhaven",3 vær. · Lejlighed · 63 m²
1681721414-2379,,16.000 kr.,"Brabrand, Brabrand Skovvej",5 vær. · Hus · 162 m²
1681721414-2380,,7.195 kr.,"Aarhus N, Tulipanlunden",3 vær. · Lejlighed · 48 m²
1681721414-2381,,7.095 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 52 m²
1681721414-2382,,6.700 kr.,"Aarhus V, Bronzealdertoften",2 vær. · Lejlighed · 59 m²
1681721414-2383,,14.250 kr.,"Aarhus C, Kystvejen",3 vær. · Lejlighed · 161 m²
1681721414-2384,,5.850 kr.,"Aarhus C, Åparken",1 vær. · Lejlighed · 32 m²
1681721414-2385,,11.195 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 98 m²
1681721414-2386,,4.200 kr.,"Aarhus C, Rosenkrantzgade",1 vær. · Værelse · 18 m²
1681721414-2387,,7.500 kr.,"Skødstrup, Grenåvej",2 vær. · Lejlighed · 73 m²
1681721414-2388,,10.800 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 88 m²
1681721414-2389,,12.998 kr.,"Brabrand, Høiriisgårdsvej",5 vær. · Lejlighed · 150 m²
1681721414-2390,,12.168 kr.,"Aarhus C, Skanderborgvej",5 vær. · Lejlighed · 108 m²
1681721414-2391,,9.000 kr.,"Åbyhøj, Søren Frichs Vej",4 vær. · Rækkehus · 104 m²
1681721414-2392,,11.395 kr.,"Risskov, Møllehatten",4 vær. · Lejlighed · 85 m²
1681721414-2393,,10.825 kr.,"Aarhus C, Ceresbyen",2 vær. · Lejlighed · 76 m²
1681721414-2394,,6.500 kr.,"Aarhus C, H.N. Clausens Gade",1 vær. · Lejlighed · 42 m²
1681721414-2395,,9.395 kr.,"Aarhus C, Østergade",2 vær. · Lejlighed · 56 m²
1681721414-2396,,12.600 kr.,"Aarhus C, Dagmar Petersens Gade",3 vær. · Lejlighed · 80 m²
1681721414-2397,,7.900 kr.,"Aarhus N, Jens Baggesens Vej",2 vær. · Lejlighed · 68 m²
1681721414-2398,,6.995 kr.,"Brabrand, Inger Christensens Gade",2 vær. · Lejlighed · 60 m²
1681721414-2399,,7.400 kr.,"Risskov, Doris Kæraas Gade",2 vær. · Lejlighed · 54 m²
1681721414-2400,,2.693 kr.,"Brabrand, Inger Christensens Gade",1 vær. · Værelse · 9 m²
1681721414-2401,,8.900 kr.,"Aarhus V, Klokkerbakken",3 vær. · Lejlighed · 75 m²
1681721414-2402,,3.975 kr.,"Aarhus V, Bronzealdervej",1 vær. · Lejlighed · 32 m²
1681721414-2403,,3.975 kr.,"Aarhus V, Bronzealdervej",1 vær. · Lejlighed · 32 m²
1681721414-2404,,5.069 kr.,"Aarhus N, Skejbyparken",2 vær. · Lejlighed · 39 m²
1681721414-2405,,8.995 kr.,"Malling, Mallingparken",4 vær. · Lejlighed · 90 m²
1681721414-2406,,6.300 kr.,"Hinnerup, Bogfinkevej",3 vær. · Rækkehus · 50 m²
1681721414-2407,,4.000 kr.,"Aarhus N, Katrinebjergvej",1 vær. · Værelse · 35 m²
1681721414-2408,,4.900 kr.,"Tilst, Honningvænget",1 vær. · Lejlighed · 33 m²
1681721414-2409,,10.300 kr.,"Aarhus C, Peter Sabroes Gade",2 vær. · Lejlighed · 64 m²
1681721414-2410,,10.500 kr.,"Risskov, Harald Selmers Vej",2 vær. · Lejlighed · 81 m²
1681721414-2411,,8.600 kr.,"Aarhus C, Ceres Allé",2 vær. · Lejlighed · 51 m²
1681721414-2412,,3.500 kr.,"Aarhus N, Dronning Margrethes Vej",1 vær. · Værelse · 20 m²
1681721414-2413,,12.495 kr.,"Tilst, Honningvænget",4 vær. · Rækkehus · 114 m²
1681721414-2414,,7.100 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 49 m²
1681721414-2415,,9.569 kr.,"Aarhus C, Nørre Alle",3 vær. · Lejlighed · 65 m²
1681721414-2416,,8.500 kr.,"Aarhus C, Mejlgade",2 vær. · Lejlighed · 51 m²
1681721414-2417,,3.300 kr.,"Aarhus C, Langenæs Allé",1 vær. · Værelse · 9 m²
1681721414-2418,,9.620 kr.,"Hasselager, Ingerslevvej",6 vær. · Hus · 179 m²
1681721414-2419,,10.900 kr.,"Risskov, Bytoften",4 vær. · Lejlighed · 88 m²
1681721414-2420,,10.300 kr.,"Brabrand, Lily Brobergs Gade",4 vær. · Rækkehus · 102 m²
1681721414-2421,,7.000 kr.,"Aarhus C, Chr. Richardts Vej",2 vær. · Lejlighed · 60 m²
1681721414-2422,,15.500 kr.,"Risskov, Vestre Strandallé",4 vær. · Lejlighed · 155 m²
1681721414-2423,,13.350 kr.,"Aarhus C, Søren Frichs Vej",3 vær. · Lejlighed · 87 m²
1681721414-2424,,7.895 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 64 m²
1681721414-2425,,9.895 kr.,"Aarhus C, Grete Løchtes Gade",3 vær. · Lejlighed · 66 m²
1681721414-2426,,5.720 kr.,"Risskov, Tove Ditlevsens Gade",1 vær. · Lejlighed · 35 m²
1681721414-2427,,8.975 kr.,"Aarhus C, Jyllands Allé",2 vær. · Lejlighed · 74 m²
1681721414-2428,,6.750 kr.,"Viby J, Markvangen",2 vær. · Lejlighed · 48 m²
1681721414-2429,,7.395 kr.,"Aarhus N, Tulipanhaven",3 vær. · Lejlighed · 62 m²
1681721414-2430,,11.000 kr.,"Risskov, Borresøvej",4 vær. · Lejlighed · 95 m²
1681721414-2431,,7.384 kr.,"Risskov, Tove Ditlevsens Gade",3 vær. · Lejlighed · 55 m²
1681721414-2432,,13.000 kr.,"Risskov, Tove Ditlevsens Gade",4 vær. · Lejlighed · 111 m²
1681721414-2433,,7.100 kr.,"Risskov, Doris Kæraas Gade",2 vær. · Lejlighed · 54 m²
1681721414-2434,,5.700 kr.,"Viby J, Vestre Kongevej",2 vær. · Lejlighed · 50 m²
1681721414-2435,,9.995 kr.,"Aarhus C, Telefontorvet",3 vær. · Lejlighed · 107 m²
1681721414-2436,,8.480 kr.,"Malling, Krekærtoften",3 vær. · Rækkehus · 81 m²
1681721414-2437,,10.000 kr.,"Aarhus N, Jens Baggesens Vej",2 vær. · Lejlighed · 48 m²
1681721414-2438,,9.000 kr.,"Lystrup, Kildehaven",3 vær. · Rækkehus · 81 m²
1681721414-2439,,19.500 kr.,"Aarhus C, Langelinieparken",3 vær. · Lejlighed · 118 m²
1681721414-2440,,2.600 kr.,"Viby J, H.C. Ørsteds Vej",1 vær. · Værelse · 14 m²
1681721414-2441,,8.600 kr.,"Aarhus C, Søndre Ringgade",2 vær. · Lejlighed · 66 m²
1681721414-2442,,7.000 kr.,"Brabrand, Stadevej",2 vær. · Værelse · 84 m²
1681721414-2443,,10.995 kr.,"Aarhus N, Vistihøjen",4 vær. · Rækkehus · 95 m²
1681721414-2444,,8.500 kr.,"Aarhus N, Finsensgade",3 vær. · Lejlighed · 83 m²
1681721414-2445,,12.195 kr.,"Aarhus C, Kildegården",4 vær. · Lejlighed · 111 m²
1681721414-2446,,7.785 kr.,"Aarhus N, Tulipanhaven",3 vær. · Lejlighed · 64 m²
1681721414-2447,,7.200 kr.,"Aarhus C, Mejlgade",1 vær. · Lejlighed · 56 m²
1681721414-2448,,10.795 kr.,"Risskov, Broloftet",4 vær. · Lejlighed · 98 m²
1681721414-2449,,6.195 kr.,"Brabrand, Inger Christensens Gade",2 vær. · Lejlighed · 54 m²
1681721414-2450,,10.850 kr.,"Brabrand, Helenelyst",4 vær. · Lejlighed · 111 m²
1681721414-2451,,9.400 kr.,"Risskov, Kamma Klitgårds Gade",3 vær. · Lejlighed · 84 m²
1681721414-2452,,3.500 kr.,"Aarhus C, Rudolf Wullfs gade",1 vær. · Værelse · 15 m²
1681721414-2453,,11.995 kr.,"Tilst, Honningvænget",5 vær. · Rækkehus · 121 m²
1681721414-2454,,10.842 kr.,"Aarhus N, Olof Palmes Allé",3 vær. · Lejlighed · 98 m²
1681721414-2455,,3.474 kr.,"Aarhus C, Samsøgade",1 vær. · Værelse · 16 m²
1681721414-2456,,11.500 kr.,"Aarhus C, Strandparken",2 vær. · Lejlighed · 74 m²
1681721414-2457,,11.232 kr.,"Aarhus C, Dirch Passers Gade",3 vær. · Lejlighed · 78 m²
1681721414-2458,,7.800 kr.,"Aarhus C, Åparken",2 vær. · Lejlighed · 52 m²
1681721414-2459,,8.300 kr.,"Risskov, Arresøvej",3 vær. · Lejlighed · 68 m²
1681721414-2460,,9.200 kr.,"Aarhus C, Peter Sabroes Gade",2 vær. · Lejlighed · 64 m²
1681721414-2461,,8.225 kr.,"Risskov, Brassøvej",2 vær. · Lejlighed · 56 m²
1681721414-2462,,7.900 kr.,"Skødstrup, Stationsstien",4 vær. · Lejlighed · 102 m²
1681721414-2463,,8.030 kr.,"Risskov, Dagmar Hansens Gade",3 vær. · Lejlighed · 62 m²
1681721414-2464,,6.400 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 45 m²
1681721414-2465,,6.200 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 43 m²
1681721414-2466,,7.100 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 51 m²
1681721414-2467,,10.100 kr.,"Risskov, Arresøvej",3 vær. · Lejlighed · 78 m²
1681721414-2468,,13.300 kr.,"Trige, Byhøjparken",5 vær. · Rækkehus · 127 m²
1681721414-2469,,13.300 kr.,"Trige, Byhøjparken",4 vær. · Rækkehus · 126 m²
1681721414-2470,,10.000 kr.,"Aarhus V, Dalbovej",1 vær. · Lejlighed · 200 m²
1681721414-2471,,14.495 kr.,"Risskov, L.P. Bechs Vej",3 vær. · Lejlighed · 96 m²
1681721414-2472,,8.137 kr.,"Brabrand, Gudrunsvej",5 vær. · Lejlighed · 129 m²
1681721414-2473,,7.150 kr.,"Viby J, Damagervej",2 vær. · Lejlighed · 55 m²
1681721414-2474,,6.600 kr.,"Mårslet, Hørretvej",3 vær. · Lejlighed · 89 m²
1681721414-2475,,38.000 kr.,"Risskov, Vibevej",7 vær. · Hus · 198 m²
1681721414-2476,,13.500 kr.,"Aarhus C, Nørre Allé",4 vær. · Lejlighed · 106 m²
1681721414-2477,,10.599 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 90 m²
1681721414-2478,,9.495 kr.,"Tilst, Blomsterlunden",3 vær. · Lejlighed · 73 m²
1681721414-2479,,14.100 kr.,"Aarhus C, Banegårdspladsen",3 vær. · Lejlighed · 109 m²
1681721414-2480,,8.230 kr.,"Åbyhøj, Silkeborgvej",3 vær. · Lejlighed · 90 m²
1681721414-2481,,7.994 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 63 m²
1681721414-2482,,3.400 kr.,"Hørning, Tværvej",1 vær. · Værelse · 23 m²
1681721414-2483,,7.151 kr.,"Viby J, Rosenhøj Bakke",3 vær. · Lejlighed · 93 m²
1681721414-2484,,12.242 kr.,"Harlev J, Ådalsparken",4 vær. · Rækkehus · 134 m²
1681721414-2485,,13.500 kr.,"Åbyhøj, Baldersgade",4 vær. · Lejlighed · 125 m²
1681721414-2486,,8.002 kr.,"Viby J, Rosenhøj Vænge",4 vær. · Lejlighed · 108 m²
1681721414-2487,,10.200 kr.,"Aarhus V, Hammershusvej",3 vær. · Lejlighed · 104 m²
1681721414-2488,,7.250 kr.,"Aarhus C, Paradisgade",1 vær. · Lejlighed · 43 m²
1681721414-2489,,4.585 kr.,"Aarhus C, Thomas Koppels Gade",1 vær. · Værelse · 10 m²
1681721414-2490,,9.850 kr.,"Aarhus N, Olof Palmes Allé",3 vær. · Lejlighed · 69 m²
1681721414-2491,,5.950 kr.,"Åbyhøj, Søren Frichs Vej",1 vær. · Lejlighed · 34 m²
1681721414-2492,,9.250 kr.,"Aarhus N, Møllevangs Allé",3 vær. · Lejlighed · 73 m²
1681721414-2493,,9.500 kr.,"Aarhus C, Kirkegårdsvej",2 vær. · Lejlighed · 65 m²
1681721414-2494,,8.600 kr.,"Aarhus N, Møllevangs Allé",2 vær. · Lejlighed · 60 m²
1681721414-2495,,4.610 kr.,"Aarhus C, Søndre Ringgade",1 vær. · Værelse · 25 m²
1681721414-2496,,7.000 kr.,"Aarhus N, Skejby Vænge",2 vær. · Lejlighed · 61 m²
1681721414-2497,,12.900 kr.,"Risskov, Hvidkildevej",4 vær. · Rækkehus · 109 m²
1681721414-2498,,12.675 kr.,"Aarhus N, Gøteborg Allé",4 vær. · Lejlighed · 90 m²
1681721414-2499,,9.995 kr.,"Aarhus C, Skanderborgvej",3 vær. · Lejlighed · 84 m²
1681721414-2500,,13.260 kr.,"Aarhus C, Dirch Passers Gade",4 vær. · Lejlighed · 104 m²
1681721414-2501,,4.150 kr.,"Aarhus V, Runestenen",1 vær. · Værelse · 13 m²
1681721414-2502,,8.990 kr.,"Aarhus N, Brendstrupvej",3 vær. · Lejlighed · 76 m²
1681721414-2503,,3.900 kr.,"Aarhus N, Godfred Hansens Vej",1 vær. · Værelse · 24 m²
1681721414-2504,,6.400 kr.,"Hinnerup, Postvej",3 vær. · Lejlighed · 89 m²
1681721414-2505,,7.154 kr.,"Viby J, Rosenhøj Allé",3 vær. · Lejlighed · 92 m²
1681721414-2506,,7.575 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 58 m²
1681721414-2507,,9.818 kr.,"Viby J, Rosenhøj Vænge",3 vær. · Rækkehus · 106 m²
1681721414-2508,,9.818 kr.,"Viby J, Rosenhøj Allé",3 vær. · Rækkehus · 106 m²
1681721414-2509,,9.615 kr.,"Viby J, Rosenhøj Allé",3 vær. · Rækkehus · 106 m²
1681721414-2510,,9.800 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 104 m²
1681721414-2511,,9.818 kr.,"Viby J, Rosenhøj Bakke",3 vær. · Rækkehus · 106 m²
1681721414-2512,,6.300 kr.,"Aarhus C, St.St. Blichers Gade",1 vær. · Lejlighed · 31 m²
1681721414-2513,,3.075 kr.,"Brabrand, Stenaldervej",1 vær. · Værelse · 31 m²
1681721414-2514,,7.375 kr.,"Aarhus N, Tulipanlunden",2 vær. · Lejlighed · 52 m²
1681721414-2515,,5.595 kr.,"Lystrup, Kirsebærhaven",2 vær. · Lejlighed · 55 m²
1681721414-2516,,9.700 kr.,"Hørning, Østergårds Alle",5 vær. · Lejlighed · 114 m²
1681721414-2517,,8.050 kr.,"Risskov, Lilli Andersens Gade",3 vær. · Lejlighed · 62 m²
1681721414-2518,,8.300 kr.,"Aarhus C, Søndre Ringgade",2 vær. · Lejlighed · 70 m²
1681721414-2519,,3.144 kr.,"Aarhus N, Skejbyparken",1 vær. · Værelse · 28 m²
1681721414-2520,,3.164 kr.,"Aarhus N, Gøteborg Allé",1 vær. · Værelse · 33 m²
1681721414-2521,,11.000 kr.,"Aarhus C, Hans Broges Gade",3 vær. · Lejlighed · 94 m²
1681721414-2522,,3.500 kr.,"Aarhus C, Mindegade",1 vær. · Værelse · 8 m²
1681721414-2523,,7.375 kr.,"Aarhus N, Tulipanlunden",2 vær. · Lejlighed · 52 m²
1681721414-2524,,3.478 kr.,"Lystrup, Kirsebærhaven",1 vær. · Lejlighed · 33 m²
1681721414-2525,,13.500 kr.,"Aarhus C, Helga Pedersens Gade",2 vær. · Lejlighed · 66 m²
1681721414-2526,,15.000 kr.,"Egå, Fyrremejsevej",5 vær. · Hus · 136 m²
1681721414-2527,,6.500 kr.,"Aarhus C, Carl Bertelsens Gade",2 vær. · Lejlighed · 52 m²
1681721414-2528,,8.995 kr.,"Tilst, Honningvænget",3 vær. · Rækkehus · 82 m²
1681721414-2529,,3.500 kr.,"Viby J, Terp Skovvej",1 vær. · Værelse · 10 m²
1681721414-2530,,14.841 kr.,"Aarhus C, John Mogensens Gade",4 vær. · Lejlighed · 118 m²
1681721414-2531,,6.895 kr.,"Risskov, Nordlandsvej",2 vær. · Lejlighed · 47 m²
1681721414-2532,,9.995 kr.,"Aarhus C, Skanderborgvej",3 vær. · Lejlighed · 84 m²
1681721414-2533,,7.000 kr.,"Aarhus N, Skelagervej",4 vær. · Rækkehus · 88 m²
1681721414-2534,,14.000 kr.,"Aarhus C, Bernhardt Jensens Boulevard",4 vær. · Lejlighed · 96 m²
1681721414-2535,,6.016 kr.,"Aarhus C, Fredensgade",2 vær. · Lejlighed · 40 m²
1681721414-2536,,8.122 kr.,"Aarhus C, Fredensgade",2 vær. · Lejlighed · 54 m²
1681721414-2537,,9.995 kr.,"Aarhus C, Sdr. Ringgade",3 vær. · Lejlighed · 81 m²
1681721414-2538,,8.500 kr.,"Risskov, Vikærsvej",3 vær. · Lejlighed · 66 m²
1681721414-2539,,8.900 kr.,"Aarhus C, Augustenborggade",3 vær. · Lejlighed · 73 m²
1681721414-2540,,5.950 kr.,"Åbyhøj, Søren Frichs Vej",1 vær. · Lejlighed · 34 m²
1681721414-2541,,8.450 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 65 m²
1681721414-2542,,5.500 kr.,"Viby J, Christian X's Vej",1 vær. · Lejlighed · 28 m²
1681721414-2543,,9.500 kr.,"Aarhus C, Nørre Allé",2 vær. · Lejlighed · 63 m²
1681721414-2544,,2.921 kr.,"Viby J, Risdalsvej",1 vær. · Værelse · 26 m²
1681721414-2545,,10.700 kr.,"Hasselager, Sønderholmvej",4 vær. · Rækkehus · 120 m²
1681721414-2546,,10.514 kr.,"Brabrand, Edwin Rahrs Vej",4 vær. · Lejlighed · 129 m²
1681721414-2547,,11.500 kr.,"Aarhus C, Bernhardt Jensens Boulevard",2 vær. · Lejlighed · 85 m²
1681721414-2548,,9.800 kr.,"Aarhus C, Mejlgade",2 vær. · Lejlighed · 67 m²
1681721414-2549,,9.800 kr.,"Aarhus N, Niels Juels Gade",2 vær. · Lejlighed · 88 m²
1681721414-2550,,8.700 kr.,"Risskov, Torsøvej",3 vær. · Lejlighed · 67 m²
1681721414-2551,,9.665 kr.,"Brabrand, Edwin Rahrs Vej",3 vær. · Lejlighed · 115 m²
1681721414-2552,,8.290 kr.,"Aarhus N, Jens Baggesens Vej",2 vær. · Lejlighed · 54 m²
1681721414-2553,,7.000 kr.,"Aarhus N, Niels Juels Gade",3 vær. · Lejlighed · 48 m²
1681721414-2554,,10.600 kr.,"Aarhus C, Mariane Thomsens Gade",2 vær. · Lejlighed · 78 m²
1681721414-2555,,6.500 kr.,"Aarhus C, Nørregade",2 vær. · Lejlighed · 50 m²
1681721414-2556,,8.695 kr.,"Aarhus N, Olof Palmes Allé",2 vær. · Lejlighed · 60 m²
1681721414-2557,,7.495 kr.,"Aarhus N, Tulipanlunden",3 vær. · Lejlighed · 56 m²
1681721414-2558,,5.845 kr.,"Aarhus N, Tulipanlunden",2 vær. · Lejlighed · 35 m²
