web-scraper-order,web-scraper-start-url,pagination,price,address,rooms_type_kvm
1681720076-938,https://www.boligportal.dk/lejeboliger/aarhus/,,3.500 kr.,"Aarhus N, Funch Thomsens Gade",1 vær. · Værelse · 16 m²
1681720076-939,https://www.boligportal.dk/lejeboliger/aarhus/,,11.426 kr.,"Aarhus C, M.P. Bruuns Gade",3 vær. · Lejlighed · 91 m²
1681720076-940,https://www.boligportal.dk/lejeboliger/aarhus/,,11.425 kr.,"Hørning, Elgårdsmindeparken",4 vær. · Rækkehus · 115 m²
1681720076-941,https://www.boligportal.dk/lejeboliger/aarhus/,,3.500 kr.,"Aarhus N, Bodøvej",1 vær. · Værelse · 15 m²
1681720076-942,https://www.boligportal.dk/lejeboliger/aarhus/,,3.300 kr.,"Viby J, Markvangen",1 vær. · Værelse · 13 m²
1681720076-943,https://www.boligportal.dk/lejeboliger/aarhus/,,7.000 kr.,"Åbyhøj, J. Skjoldborgs Vej",2 vær. · Lejlighed · 62 m²
1681720076-944,https://www.boligportal.dk/lejeboliger/aarhus/,,6.750 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 52 m²
1681720076-945,https://www.boligportal.dk/lejeboliger/aarhus/,,12.995 kr.,"Aarhus C, Rudolph Wulffs Gade",4 vær. · Lejlighed · 101 m²
1681720076-946,https://www.boligportal.dk/lejeboliger/aarhus/,,10.995 kr.,"Viby J, Holme Møllevej",4 vær. · Lejlighed · 96 m²
1681720076-947,https://www.boligportal.dk/lejeboliger/aarhus/,,9.295 kr.,"Aarhus C, Kongsvang Allé",2 vær. · Lejlighed · 73 m²
1681720076-948,https://www.boligportal.dk/lejeboliger/aarhus/,,5.895 kr.,"Højbjerg, Oddervej",1 vær. · Lejlighed · 45 m²
1681720076-949,https://www.boligportal.dk/lejeboliger/aarhus/,,6.900 kr.,"Aarhus N, Skovvangsvej",2 vær. · Lejlighed · 59 m²
1681720076-950,https://www.boligportal.dk/lejeboliger/aarhus/,,5.800 kr.,"Hinnerup, Århusvej",4 vær. · Lejlighed · 124 m²
1681720076-951,https://www.boligportal.dk/lejeboliger/aarhus/,,11.500 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 91 m²
1681720076-952,https://www.boligportal.dk/lejeboliger/aarhus/,,6.000 kr.,"Aarhus N, Roald Amundsens Vej",1 vær. · Værelse · 17 m²
1681720076-953,https://www.boligportal.dk/lejeboliger/aarhus/,,5.534 kr.,"Aarhus C, Knudrisgade",1 vær. · Lejlighed · 50 m²
1681720076-954,https://www.boligportal.dk/lejeboliger/aarhus/,,11.750 kr.,"Aarhus C, Sonnesgade",3 vær. · Lejlighed · 90 m²
1681720076-955,https://www.boligportal.dk/lejeboliger/aarhus/,,15.180 kr.,"Aarhus C, Sonnesgade",4 vær. · Lejlighed · 114 m²
1681720076-956,https://www.boligportal.dk/lejeboliger/aarhus/,,6.245 kr.,"Aarhus N, Skejbyparken",2 vær. · Lejlighed · 46 m²
1681720076-957,https://www.boligportal.dk/lejeboliger/aarhus/,,3.390 kr.,"Risskov, Grenåvej",1 vær. · Værelse · 25 m²
1681720076-958,https://www.boligportal.dk/lejeboliger/aarhus/,,7.633 kr.,"Viby J, Grøfthøjparken",4 vær. · Lejlighed · 108 m²
1681720076-959,https://www.boligportal.dk/lejeboliger/aarhus/,,7.800 kr.,"Aarhus C, Nordborggade",2 vær. · Lejlighed · 64 m²
1681720076-960,https://www.boligportal.dk/lejeboliger/aarhus/,,2.328 kr.,"Aarhus C, Vestervang",1 vær. · Værelse · 20 m²
